item_id,trial_id,expected_presentations,actual_presentations,presentation_count_ok,presentations,stimulus,condition,syllable_length,frequency_group,frequency,log_frequency,accuracy,mean_rt_correct,median_rt_correct,missing_rt_count,qc_flags
LDT3X4_001,LDT3X4_001,48,48,True,48,bệc viện,pseudoword,2,control,NA,NA,0.8541666666666666,0.8423443414634146,0.825993,0,
LDT3X4_002,LDT3X4_002,48,48,True,48,núi,word,1,low,31,3.433987204,0.9791666666666666,0.48801421276595747,0.48758,0,
LDT3X4_003,LDT3X4_003,48,48,True,48,cơ só sản xuất,pseudoword,4,control,NA,NA,0.7916666666666666,1.0946795789473684,1.093088,1,
LDT3X4_004,LDT3X4_004,48,48,True,48,trính độ học vấn,pseudoword,4,control,NA,NA,0.7291666666666666,1.1736968285714287,1.138069,0,
LDT3X4_005,LDT3X4_005,48,48,True,48,loại sản phẩm,word,3,low,10,2.302585093,0.9791666666666666,0.7733681276595745,0.763983,0,
LDT3X4_006,LDT3X4_006,48,48,True,48,đèn,word,1,high,306,5.723585102,0.9791666666666666,0.4028201063829788,0.387204,0,
LDT3X4_007,LDT3X4_007,48,48,True,48,mối quan hế,pseudoword,3,control,NA,NA,0.9375,0.9998529777777776,0.999171,0,
LDT3X4_008,LDT3X4_008,48,48,True,48,điện thoại di động,word,4,high,14,2.6390573296152584,0.9791666666666666,0.6160628936170214,0.620003,0,
LDT3X4_009,LDT3X4_009,48,48,True,48,tâm lỵ học,pseudoword,3,control,NA,NA,0.7708333333333334,1.0679881621621623,1.01133,0,
LDT3X4_010,LDT3X4_010,48,48,True,48,hệ thóng,pseudoword,2,control,NA,NA,0.7916666666666666,0.8954493157894736,0.8516355,0,
LDT3X4_011,LDT3X4_011,48,48,True,48,sức hấp dẫn,word,3,mid,15,2.70805020110221,0.9791666666666666,0.7508627659574467,0.734423,0,
LDT3X4_012,LDT3X4_012,48,48,True,48,nước uống thé thao,pseudoword,4,control,NA,NA,0.8958333333333334,1.1473595116279072,1.148506,1,
LDT3X4_013,LDT3X4_013,48,48,True,48,kiến trúc sư,word,3,high,23,3.13549421592915,0.9791666666666666,0.588081170212766,0.596061,0,
LDT3X4_014,LDT3X4_014,48,48,True,48,máy đo huyết áp,word,4,low,3,1.098612289,0.9375,0.8973890444444443,0.896687,0,
LDT3X4_015,LDT3X4_015,48,48,True,48,hệ thống,word,2,high,37,3.610917913,0.9791666666666666,0.4452536170212766,0.441045,0,
LDT3X4_016,LDT3X4_016,48,48,True,48,trị,word,1,low,91,4.510859507,0.9583333333333334,0.4406862391304348,0.4278965,0,
LDT3X4_017,LDT3X4_017,48,48,True,48,nước vọ gạo,pseudoword,3,control,NA,NA,0.8541666666666666,0.9516352926829268,0.98159,0,
LDT3X4_018,LDT3X4_018,48,48,True,48,giáo dục,word,2,mid,23,3.135494216,0.9375,0.5358283111111111,0.524223,0,
LDT3X4_019,LDT3X4_019,48,48,True,48,cốc,word,1,low,19,2.944438979,0.9791666666666666,0.49410182978723405,0.498805,0,
LDT3X4_020,LDT3X4_020,48,48,True,48,lực,word,1,mid,199,5.293304825,0.9583333333333334,0.476131543478261,0.440685,0,
LDT3X4_021,LDT3X4_021,48,48,True,48,máy hủt bụi,pseudoword,3,control,NA,NA,0.7708333333333334,1.0098174324324327,1.008874,1,
LDT3X4_022,LDT3X4_022,48,48,True,48,trý,pseudoword,1,control,NA,NA,0.7083333333333334,0.6636124117647058,0.6640775000000001,0,
LDT3X4_023,LDT3X4_023,48,48,True,48,địm kiến xã hội,pseudoword,4,control,NA,NA,0.75,1.1668980833333333,1.1462585,0,
LDT3X4_024,LDT3X4_024,48,48,True,48,nước xọt,pseudoword,2,control,NA,NA,0.7916666666666666,0.8791642368421053,0.8459475,1,
LDT3X4_025,LDT3X4_025,48,48,True,48,môi trường bẹn ngoài,pseudoword,4,control,NA,NA,0.8125,1.0822771282051282,1.056409,0,
LDT3X4_026,LDT3X4_026,48,48,True,48,lá,word,1,high,443,6.09356977,0.9791666666666666,0.3923784042553191,0.384838,0,
LDT3X4_027,LDT3X4_027,48,48,True,48,hình chữ nhật,word,3,high,20,2.99573227355399,1.0,0.5570205833333334,0.5484994999999999,0,
LDT3X4_028,LDT3X4_028,48,48,True,48,nhâ cửa,pseudoword,2,control,NA,NA,0.7916666666666666,0.8339487894736843,0.815503,0,
LDT3X4_029,LDT3X4_029,48,48,True,48,máy nước nóng,word,3,low,6,1.791759469,0.9583333333333334,0.782742304347826,0.7673725,1,
LDT3X4_030,LDT3X4_030,48,48,True,48,lủc,pseudoword,1,control,NA,NA,0.8125,0.683891512820513,0.648461,1,
LDT3X4_031,LDT3X4_031,48,48,True,48,máy nghe nhảc,pseudoword,3,control,NA,NA,0.9166666666666666,0.9727562954545456,0.960951,0,
LDT3X4_032,LDT3X4_032,48,48,True,48,công ty,word,2,high,135,4.905274778,1.0,0.401836625,0.40425049999999996,0,
LDT3X4_033,LDT3X4_033,48,48,True,48,đồng nghiệp,word,2,high,45,3.80666249,1.0,0.44886214583333334,0.43174599999999996,0,
LDT3X4_034,LDT3X4_034,48,48,True,48,vản hóa,pseudoword,2,control,NA,NA,0.8125,0.8167278461538461,0.833477,0,
LDT3X4_035,LDT3X4_035,48,48,True,48,nước uống thể thao,word,4,mid,4,1.386294361,0.9375,0.733800311111111,0.734323,0,
LDT3X4_036,LDT3X4_036,48,48,True,48,khoa học,word,2,mid,20,2.995732274,0.9375,0.5249698222222221,0.489861,0,
LDT3X4_037,LDT3X4_037,48,48,True,48,đâ,pseudoword,1,control,NA,NA,0.875,0.6577613809523809,0.643536,2,
LDT3X4_038,LDT3X4_038,48,48,True,48,sông,word,1,low,60,4.094344562,0.9583333333333334,0.46110421739130436,0.4720665,0,
LDT3X4_039,LDT3X4_039,48,48,True,48,hàc,pseudoword,1,control,NA,NA,0.8541666666666666,0.7157343414634146,0.686584,1,
LDT3X4_040,LDT3X4_040,48,48,True,48,măt,pseudoword,1,control,NA,NA,0.8541666666666666,0.6899108292682927,0.672768,0,
LDT3X4_041,LDT3X4_041,48,48,True,48,công nghệ thông tin,word,4,mid,6,1.791759469,0.9583333333333334,0.7454281304347825,0.782648,0,
LDT3X4_042,LDT3X4_042,48,48,True,48,mức giá,word,2,mid,16,2.772588722,0.9791666666666666,0.5223611063829787,0.534077,1,
LDT3X4_043,LDT3X4_043,48,48,True,48,đất,word,1,mid,138,4.927253685,0.9791666666666666,0.5024726170212765,0.460346,1,
LDT3X4_044,LDT3X4_044,48,48,True,48,câu trả lời,word,3,high,30,3.40119738166216,0.9166666666666666,0.5819638863636364,0.5724795,0,
LDT3X4_045,LDT3X4_045,48,48,True,48,hónh phúc gia đình,pseudoword,4,control,NA,NA,0.8541666666666666,1.1078860975609754,1.138595,0,
LDT3X4_046,LDT3X4_046,48,48,True,48,hoạt động xã hội,word,4,mid,5,1.609437912,0.9791666666666666,0.7392005319148937,0.714166,0,
LDT3X4_047,LDT3X4_047,48,48,True,48,mái nhà,word,2,low,14,2.63905733,0.8958333333333334,0.6139974651162791,0.609272,0,
LDT3X4_048,LDT3X4_048,48,48,True,48,diễn đàn quốc tế,word,4,low,4,1.386294361,0.875,0.8370569285714285,0.8606415000000001,1,
LDT3X4_049,LDT3X4_049,48,48,True,48,văn hóa ẩm thủc,pseudoword,4,control,NA,NA,0.8333333333333334,1.136990525,1.181427,0,
LDT3X4_050,LDT3X4_050,48,48,True,48,chợ,word,1,low,108,4.682131227,1.0,0.4293114375,0.4242595,0,
LDT3X4_051,LDT3X4_051,48,48,True,48,hó,pseudoword,1,control,NA,NA,0.8333333333333334,0.690971725,0.6906479999999999,0,
LDT3X4_052,LDT3X4_052,48,48,True,48,nướp,pseudoword,1,control,NA,NA,0.7291666666666666,0.7073822571428572,0.700158,0,
LDT3X4_053,LDT3X4_053,48,48,True,48,loại sản phám,pseudoword,3,control,NA,NA,0.8541666666666666,1.0440815609756098,1.037666,0,
LDT3X4_054,LDT3X4_054,48,48,True,48,rúng,pseudoword,1,control,NA,NA,0.8333333333333334,0.70304485,0.701749,0,
LDT3X4_055,LDT3X4_055,48,48,True,48,máy điều hòa,word,3,low,10,2.302585093,0.9791666666666666,0.7037049148936171,0.678537,1,
LDT3X4_056,LDT3X4_056,48,48,True,48,nước mắm nguyên chất,word,4,mid,6,1.791759469,0.9791666666666666,0.7646469361702127,0.780529,0,
LDT3X4_057,LDT3X4_057,48,48,True,48,tình yêu đích thực,word,4,high,23,3.1354942159291497,0.9375,0.6210882,0.614001,1,
LDT3X4_058,LDT3X4_058,48,48,True,48,cây xanh,word,2,low,12,2.48490665,0.9583333333333334,0.6017288260869565,0.613758,0,
LDT3X4_059,LDT3X4_059,48,48,True,48,dân,word,1,mid,155,5.043425117,1.0,0.4540806875,0.45103499999999996,0,
LDT3X4_060,LDT3X4_060,48,48,True,48,quan hệ vợ chọng,pseudoword,4,control,NA,NA,0.7708333333333334,1.0247806216216213,1.000723,0,
LDT3X4_061,LDT3X4_061,48,48,True,48,thủ công mỹ nghệ,word,4,mid,4,1.386294361,0.9375,0.8228483555555558,0.794583,0,
LDT3X4_062,LDT3X4_062,48,48,True,48,nướm đường,pseudoword,2,control,NA,NA,0.8125,0.8109635897435896,0.804959,1,
LDT3X4_063,LDT3X4_063,48,48,True,48,bệnh viện,word,2,low,13,2.564949357,0.9791666666666666,0.5854932127659574,0.601718,0,
LDT3X4_064,LDT3X4_064,48,48,True,48,nước xốt,word,2,low,12,2.48490665,0.9791666666666666,0.6178952765957447,0.631427,0,
LDT3X4_065,LDT3X4_065,48,48,True,48,bửa,pseudoword,1,control,NA,NA,0.75,0.6698470833333334,0.6744395000000001,3,
LDT3X4_066,LDT3X4_066,48,48,True,48,lá đic lăng,pseudoword,3,control,NA,NA,0.8333333333333334,1.0021039,0.9666245,1,
LDT3X4_067,LDT3X4_067,48,48,True,48,vật,word,1,mid,252,5.529429088,0.9583333333333334,0.44340706521739137,0.4360585,0,
LDT3X4_068,LDT3X4_068,48,48,True,48,thực phẩm chế biến,word,4,high,7,1.9459101490553128,0.9583333333333334,0.6592701739130434,0.6561699999999999,1,
LDT3X4_069,LDT3X4_069,48,48,True,48,nước vo gạo,word,3,high,28,3.33220451,0.9166666666666666,0.5979660454545453,0.5744225000000001,0,
LDT3X4_070,LDT3X4_070,48,48,True,48,chuyện tình cảm,word,3,high,48,3.87120101090789,0.8541666666666666,0.5739337073170732,0.57887,1,
LDT3X4_071,LDT3X4_071,48,48,True,48,đồ nội thất,word,3,mid,18,2.89037175789616,0.9375,0.6954382444444444,0.668801,2,
LDT3X4_072,LDT3X4_072,48,48,True,48,côc,pseudoword,1,control,NA,NA,0.8541666666666666,0.6916851951219513,0.668791,1,
LDT3X4_073,LDT3X4_073,48,48,True,48,nước hoa hồng,word,3,low,8,2.079441542,0.9375,0.7850243333333334,0.746524,1,
LDT3X4_074,LDT3X4_074,48,48,True,48,thị trường,word,2,high,128,4.852030264,0.9791666666666666,0.4306196382978723,0.384649,0,
LDT3X4_075,LDT3X4_075,48,48,True,48,hơi nước,word,2,low,11,2.397895273,0.9583333333333334,0.6326611521739129,0.6269945,0,
LDT3X4_076,LDT3X4_076,48,48,True,48,thị trườc nội địa,pseudoword,4,control,NA,NA,0.8333333333333334,1.1308305749999998,1.1237225,1,
LDT3X4_077,LDT3X4_077,48,48,True,48,cửa hàc,pseudoword,2,control,NA,NA,0.8958333333333334,0.8314483953488373,0.807702,0,
LDT3X4_078,LDT3X4_078,48,48,True,48,cá thác lác,word,3,mid,14,2.63905732961526,0.8541666666666666,0.6880969268292684,0.690892,0,
LDT3X4_079,LDT3X4_079,48,48,True,48,định kiến xã hội,word,4,low,3,1.098612289,0.9166666666666666,0.8061356590909089,0.82744,0,
LDT3X4_080,LDT3X4_080,48,48,True,48,loại thực phẩm,word,3,mid,13,2.564949357,0.9791666666666666,0.719580404255319,0.698997,0,
LDT3X4_081,LDT3X4_081,48,48,True,48,nghiên cứu khoa học,word,4,low,3,1.098612289,0.9791666666666666,0.8708442765957447,0.866964,0,
LDT3X4_082,LDT3X4_082,48,48,True,48,công nghiệp,word,2,high,27,3.295836866,0.9375,0.45384633333333335,0.444983,0,
LDT3X4_083,LDT3X4_083,48,48,True,48,giá,word,1,high,714,6.570882962,0.9791666666666666,0.37281338297872346,0.338408,0,
LDT3X4_084,LDT3X4_084,48,48,True,48,hơi nướm,pseudoword,2,control,NA,NA,0.7916666666666666,0.8737412368421051,0.8400415,2,
LDT3X4_085,LDT3X4_085,48,48,True,48,nước cốt dừa,word,3,mid,18,2.890371758,0.9583333333333334,0.7257552608695651,0.7052805,1,
LDT3X4_086,LDT3X4_086,48,48,True,48,thị trường nội địa,word,4,mid,5,1.609437912,0.9791666666666666,0.7686934042553192,0.777351,0,
LDT3X4_087,LDT3X4_087,48,48,True,48,cuộc hôn nhâc,pseudoword,3,control,NA,NA,0.9166666666666666,1.010104409090909,0.9651215,0,
LDT3X4_088,LDT3X4_088,48,48,True,48,máy xay,word,2,mid,18,2.890371758,0.9791666666666666,0.5046727446808511,0.49092,0,
LDT3X4_089,LDT3X4_089,48,48,True,48,lâ,pseudoword,1,control,NA,NA,0.7916666666666666,0.7426942368421052,0.7062755000000001,1,
LDT3X4_090,LDT3X4_090,48,48,True,48,văn hóa,word,2,high,28,3.33220451,0.8958333333333334,0.4770557441860465,0.499559,0,
LDT3X4_091,LDT3X4_091,48,48,True,48,mẹ chồng nàng hâu,pseudoword,4,control,NA,NA,0.75,1.144939222222222,1.095765,0,
LDT3X4_092,LDT3X4_092,48,48,True,48,gió,word,1,mid,118,4.770684624,0.9791666666666666,0.47696289361702127,0.436805,0,
LDT3X4_093,LDT3X4_093,48,48,True,48,máy vi tính,word,3,mid,13,2.564949357,0.9166666666666666,0.6888452727272727,0.676504,1,
LDT3X4_094,LDT3X4_094,48,48,True,48,mái ấm gia đình,word,4,high,16,2.772588722239781,0.9166666666666666,0.6225090227272727,0.6481175,0,
LDT3X4_095,LDT3X4_095,48,48,True,48,cây,word,1,mid,281,5.638354669,0.9791666666666666,0.4454297234042553,0.441523,0,
LDT3X4_096,LDT3X4_096,48,48,True,48,nồi ạp suất,pseudoword,3,control,NA,NA,0.8333333333333334,1.023724175,0.9903109999999999,0,
LDT3X4_097,LDT3X4_097,48,48,True,48,côm ty,pseudoword,2,control,NA,NA,0.875,0.8286123809523809,0.823508,0,
LDT3X4_098,LDT3X4_098,48,48,True,48,sọng,pseudoword,1,control,NA,NA,0.6666666666666666,0.6911519687500001,0.667987,2,
LDT3X4_099,LDT3X4_099,48,48,True,48,nước muối,word,2,low,11,2.397895273,1.0,0.5819537083333334,0.5765214999999999,0,
LDT3X4_100,LDT3X4_100,48,48,True,48,luật pháp,word,2,mid,26,3.258096538,0.9375,0.5852894444444445,0.557062,1,
LDT3X4_101,LDT3X4_101,48,48,True,48,nhà thiết kế,word,3,low,9,2.197224577,0.9791666666666666,0.6896010212765956,0.699163,0,
LDT3X4_102,LDT3X4_102,48,48,True,48,chủ cửa hàng,word,3,low,6,1.791759469,0.9583333333333334,0.8433547826086958,0.823905,1,
LDT3X4_103,LDT3X4_103,48,48,True,48,tiền,word,1,high,317,5.758901774,0.9791666666666666,0.3728933829787234,0.339003,0,
LDT3X4_104,LDT3X4_104,48,48,True,48,văn hóa ẩm thực,word,4,low,3,1.098612289,0.9375,0.7961606444444445,0.784214,0,
LDT3X4_105,LDT3X4_105,48,48,True,48,học thủc,pseudoword,2,control,NA,NA,0.8958333333333334,0.8109359999999999,0.808904,0,
LDT3X4_106,LDT3X4_106,48,48,True,48,mũ,word,1,low,47,3.850147602,0.875,0.497388,0.5044255,2,
LDT3X4_107,LDT3X4_107,48,48,True,48,kiến trúc sủ,pseudoword,3,control,NA,NA,0.8333333333333334,1.0103091,1.0034985,3,
LDT3X4_108,LDT3X4_108,48,48,True,48,tin,word,1,high,679,6.520621128,0.9791666666666666,0.41262040425531915,0.386976,0,
LDT3X4_109,LDT3X4_109,48,48,True,48,giá thàc,pseudoword,2,control,NA,NA,0.8958333333333334,0.880543046511628,0.847201,1,
LDT3X4_110,LDT3X4_110,48,48,True,48,nhà thiết ké,pseudoword,3,control,NA,NA,0.7916666666666666,1.0185740526315787,0.99266,0,
LDT3X4_111,LDT3X4_111,48,48,True,48,chủ cửa hàc,pseudoword,3,control,NA,NA,0.8333333333333334,0.9442524500000001,0.890552,2,
LDT3X4_112,LDT3X4_112,48,48,True,48,chuyên viên tư vấn,word,4,high,7,1.9459101490553128,1.0,0.6971640208333333,0.6453184999999999,0,
LDT3X4_113,LDT3X4_113,48,48,True,48,máy pha cà phé,pseudoword,4,control,NA,NA,0.7291666666666666,1.158100457142857,1.095826,1,
LDT3X4_114,LDT3X4_114,48,48,True,48,mối quan hệ,word,3,high,171,5.14166355650266,0.9166666666666666,0.5441744318181819,0.5281955,0,
LDT3X4_115,LDT3X4_115,48,48,True,48,biệc pháp,pseudoword,2,control,NA,NA,0.8541666666666666,0.8703949268292684,0.858132,1,
LDT3X4_116,LDT3X4_116,48,48,True,48,hạnh phúc gia đình,word,4,high,44,3.784189633918261,0.9375,0.6413826222222223,0.620097,0,
