frequency_group,syllable_length,n,mean_rt,median_rt,mean_log_rt
low,1,276,0.46789514492753626,0.468437,-0.7804683462744056
low,2,277,0.6053316498194946,0.610916,-0.5265310986272463
low,3,278,0.7624469136690647,0.7442314999999999,-0.3019349885873443
low,4,267,0.8397541947565543,0.857061,-0.1989214389042663
mid,1,281,0.46641749110320285,0.44529,-0.813238569100297
mid,2,276,0.5369000289855073,0.529689,-0.652791303403812
mid,3,270,0.7122646592592593,0.6957975,-0.3869993405203976
mid,4,277,0.7622682490974729,0.76309,-0.29676833812310294
high,1,283,0.38838928268551237,0.360596,-0.9846313101215737
high,2,278,0.44221606474820147,0.4304335,-0.8451268118358606
high,3,268,0.5737637201492537,0.5709435,-0.5877144488721681
high,4,275,0.6434430581818181,0.632213,-0.4653360117059976
