participant_id,block,trial_id,stimulus,condition,is_word,syllable_length,frequency,log_frequency,source_realword,correct_response,key_pressed,response_label,accuracy,rt
15,practice,PRACTICE_001,mèo,word,1,1,,,mèo,word,f,word,1,0.68
15,practice,PRACTICE_002,mẻo,pseudoword,0,1,,,mèo,nonword,j,nonword,1,0.715
15,practice,PRACTICE_003,ghế đá,word,1,2,,,ghế đá,word,f,word,1,0.75
15,practice,PRACTICE_004,tủ lảnh,pseudoword,0,2,,,tủ lạnh,nonword,j,nonword,1,0.785
15,main,LDT_001,biểc,pseudoword,0,1,,,biển,nonword,j,nonword,1,0.780026
15,main,LDT_002,bàc,pseudoword,0,1,,,bàn,nonword,j,nonword,1,0.758246
15,main,LDT_003,búc,pseudoword,0,1,,,bút,nonword,j,nonword,1,0.798466
15,main,LDT_004,chá,pseudoword,0,1,,,chợ,nonword,j,nonword,1,0.748686
15,main,LDT_005,khây,pseudoword,0,1,,,cây,nonword,j,nonword,1,0.772906
15,main,LDT_006,cở,pseudoword,0,1,,,cỏ,nonword,j,nonword,1,0.791126
15,main,LDT_007,côc,pseudoword,0,1,,,cốc,nonword,j,nonword,1,0.741346
15,main,LDT_008,bửa,pseudoword,0,1,,,cửa,nonword,j,nonword,1,0.781566
15,main,LDT_009,dản,pseudoword,0,1,,,dân,nonword,j,nonword,1,0.759786
15,main,LDT_010,ghể,pseudoword,0,1,,,ghế,nonword,j,nonword,1,0.800006
15,main,LDT_011,gá,pseudoword,0,1,,,giá,nonword,j,nonword,1,0.750226
15,main,LDT_012,hó,pseudoword,0,1,,,gió,nonword,j,nonword,1,0.774446
15,main,LDT_013,đoa,pseudoword,0,1,,,hoa,nonword,j,nonword,1,0.792666
15,main,LDT_014,hàc,pseudoword,0,1,,,hàng,nonword,j,nonword,1,0.742886
15,main,LDT_015,luậc,pseudoword,0,1,,,luật,nonword,j,nonword,1,0.783106
15,main,LDT_016,lâ,pseudoword,0,1,,,lá,nonword,j,nonword,1,0.761326
15,main,LDT_017,lủc,pseudoword,0,1,,,lực,nonword,j,nonword,1,0.801546
15,main,LDT_018,mố,pseudoword,0,1,,,mũ,nonword,j,nonword,1,0.751766
15,main,LDT_019,măt,pseudoword,0,1,,,mắt,nonword,j,nonword,1,0.775986
15,main,LDT_020,nhâ,pseudoword,0,1,,,nhà,nonword,j,nonword,1,0.794206
15,main,LDT_021,búi,pseudoword,0,1,,,núi,nonword,j,nonword,1,0.744426
15,main,LDT_022,nướp,pseudoword,0,1,,,nước,nonword,j,nonword,1,0.784646
15,main,LDT_023,rúng,pseudoword,0,1,,,rừng,nonword,j,nonword,1,0.762866
