participant_id,block,trial_id,stimulus,condition,is_word,syllable_length,frequency,log_frequency,source_realword,correct_response,key_pressed,response_label,accuracy,rt
4,practice,PRACTICE_001,mèo,word,1,1,NA,NA,mèo,word,f,word,1,0.82715
4,practice,PRACTICE_004,tủ lảnh,pseudoword,0,4,NA,NA,tủ lạnh,nonword,j,nonword,1,1.003365
4,practice,PRACTICE_002,mẻo,pseudoword,0,1,NA,NA,mèo,nonword,j,nonword,1,0.85004
4,practice,PRACTICE_003,ghế đá,word,1,2,NA,NA,ghế đá,word,f,word,1,0.726554
4,main,LDT_030,bải,pseudoword,0,1,NA,NA,vải,nonword,j,nonword,1,0.658444
4,main,LDT_072,truyền thóng,pseudoword,0,2,NA,NA,truyền thống,nonword,j,nonword,1,0.701848
4,main,LDT_199,khoa học,word,1,2,20,2.995732274,khoa học,word,f,word,1,0.611534
4,main,LDT_218,tinh tế,word,1,2,12,2.48490665,tinh tế,word,f,word,1,0.542966
4,main,LDT_070,thị trườc,pseudoword,0,2,NA,NA,thị trường,nonword,f,word,0,0.549913
4,main,LDT_251,niềm hạnh phúc,word,1,3,14,2.63905733,niềm hạnh phúc,word,f,word,1,0.900418
4,main,LDT_247,mối quan hệ,word,1,3,171,5.141663557,mối quan hệ,word,f,word,1,0.705725
4,main,LDT_133,nước mạm nguyên chất,pseudoword,0,4,NA,NA,nước mắm nguyên chất,nonword,j,nonword,1,1.053154
4,main,LDT_293,đánh mất lòng tin,word,1,4,3,1.098612289,đánh mất lòng tin,word,f,word,1,1.087115
4,main,LDT_126,mái ấc gia đình,pseudoword,0,4,NA,NA,mái ấm gia đình,nonword,j,nonword,1,1.139317
4,main,LDT_212,nước muối,word,1,2,11,2.397895273,nước muối,word,f,word,1,0.771329
4,main,LDT_092,lòc tự trọng,pseudoword,0,3,NA,NA,lòng tự trọng,nonword,j,nonword,1,0.931358
4,main,LDT_002,bàc,pseudoword,0,1,NA,NA,bàn,nonword,j,nonword,1,0.741555
4,main,LDT_024,sảch,pseudoword,0,1,NA,NA,sách,nonword,j,nonword,1,0.5223
4,main,LDT_252,nét văn hóa,word,1,3,7,1.945910149,nét văn hóa,word,f,word,1,0.852118
4,main,LDT_180,áo,word,1,1,184,5.214935758,áo,word,f,word,1,0.757806
4,main,LDT_207,mức giá,word,1,2,16,2.772588722,mức giá,word,f,word,1,0.64119
4,main,LDT_284,tai nạn lao động,word,1,4,3,1.098612289,tai nạn lao động,word,f,word,1,0.873992
4,main,LDT_003,búc,pseudoword,0,1,NA,NA,bút,nonword,j,nonword,1,0.795622
4,main,LDT_125,hónh phúc gia đình,pseudoword,0,4,NA,NA,hạnh phúc gia đình,nonword,j,nonword,1,0.982474
4,main,LDT_053,khách hàc,pseudoword,0,2,NA,NA,khách hàng,nonword,j,nonword,1,0.706016
4,main,LDT_079,cuộc hôn nhâc,pseudoword,0,3,NA,NA,cuộc hôn nhân,nonword,j,nonword,1,0.933607
4,main,LDT_176,trị,word,1,1,91,4.510859507,trị,word,f,word,1,0.626495
4,main,LDT_011,gá,pseudoword,0,1,NA,NA,giá,nonword,j,nonword,1,0.890319
4,main,LDT_060,mứm giá,pseudoword,0,2,NA,NA,mức giá,nonword,j,nonword,1,0.661367
4,main,LDT_074,xể đẩy,pseudoword,0,2,NA,NA,xe đẩy,nonword,j,nonword,1,0.558462
4,main,LDT_009,dản,pseudoword,0,1,NA,NA,dân,nonword,j,nonword,1,0.670761
4,main,LDT_229,câu trả lời,word,1,3,30,3.401197382,câu trả lời,word,f,word,1,1.41955
4,main,LDT_164,lực,word,1,1,199,5.293304825,lực,word,f,word,1,0.87525
4,main,LDT_208,nghệ thuật,word,1,2,30,3.401197382,nghệ thuật,word,f,word,1,0.540892
4,main,LDT_149,bàn,word,1,1,333,5.80814249,bàn,word,f,word,1,0.53909
4,main,LDT_238,lá đinh lăng,word,1,3,13,2.564949357,lá đinh lăng,word,f,word,1,1.408459
4,main,LDT_043,côm nghiệp,pseudoword,0,2,NA,NA,công nghiệp,nonword,j,nonword,1,0.770845
4,main,LDT_058,máy lânh,pseudoword,0,2,NA,NA,máy lạnh,nonword,j,nonword,1,0.779194
4,main,LDT_119,cơ só sản xuất,pseudoword,0,4,NA,NA,cơ sở sản xuất,nonword,j,nonword,1,0.941869
4,main,LDT_132,nghiên cứu khoa hỏc,pseudoword,0,4,NA,NA,nghiên cứu khoa học,nonword,f,word,0,0.654216
4,main,LDT_031,vảt,pseudoword,0,1,NA,NA,vật,nonword,j,nonword,1,0.789632
4,main,LDT_178,vật,word,1,1,252,5.529429088,vật,word,f,word,1,0.661017
4,main,LDT_290,văn hóa ẩm thực,word,1,4,3,1.098612289,văn hóa ẩm thực,word,f,word,1,1.193742
4,main,LDT_286,thủ công mỹ nghệ,word,1,4,4,1.386294361,thủ công mỹ nghệ,word,f,word,1,1.468391
4,main,LDT_049,hơi nướm,pseudoword,0,2,NA,NA,hơi nước,nonword,j,nonword,1,0.759681
4,main,LDT_131,mẹ chồng nàng hâu,pseudoword,0,4,NA,NA,mẹ chồng nàng dâu,nonword,f,word,0,1.400224
4,main,LDT_269,diễn đàn quốc tế,word,1,4,4,1.386294361,diễn đàn quốc tế,word,f,word,1,1.688958
4,main,LDT_165,mũ,word,1,1,47,3.850147602,mũ,word,f,word,1,0.674725
4,main,LDT_139,thủ công mý nghệ,pseudoword,0,4,NA,NA,thủ công mỹ nghệ,nonword,j,nonword,1,1.926554
4,main,LDT_042,cây xạnh,pseudoword,0,2,NA,NA,cây xanh,nonword,j,nonword,1,1.004483
4,main,LDT_068,phạp luật,pseudoword,0,2,NA,NA,pháp luật,nonword,j,nonword,1,0.697192
