lexical_item,frequency,syllable_length,log_frequency
gia đình,1352,2,7.20934025660291
tình yêu,961,2,6.8679744089702925
đàn ông,827,2,6.717804695023691
hạnh phúc,811,2,6.698268054115413
thời gian,668,2,6.504288173536645
tình cảm,636,2,6.455198563340122
người đàn,605,2,6.405228458030842
cuộc sống,539,2,6.289715570908998
bạn gái,492,2,6.198478716492308
người yêu,458,2,6.126869184114185
phụ nữ,429,2,6.061456918928017
suy nghĩ,406,2,6.0063531596017325
bạn trai,400,2,5.991464547107982
cảm thấy,383,2,5.948034989180646
tâm sự,377,2,5.932245187448011
bao giờ,366,2,5.902633333401366
bây giờ,342,2,5.834810737062605
quan hệ,340,2,5.8289456176102075
quyết định,334,2,5.811140992976701
chia tay,330,2,5.799092654460526
vợ chồng,323,2,5.777652323222656
món ăn,320,2,5.768320995793772
rất nhiều,317,2,5.75890177387728
người bạn,315,2,5.752572638825633
hai người,312,2,5.7430031878094825
thật sự,311,2,5.739792912179234
tất cả,309,2,5.733341276897746
con gái,298,2,5.697093486505405
chấp nhận,282,2,5.641907070938114
thế nào,280,2,5.634789603169249
bản thân,275,2,5.616771097666572
đau khổ,268,2,5.5909869805108565
cô gái,263,2,5.572154032177765
người khác,262,2,5.568344503761097
vấn đề,260,2,5.560681631015528
sản phẩm,259,2,5.556828061699537
cảm giác,259,2,5.556828061699537
hoàn cảnh,256,2,5.545177444479562
quan trọng,256,2,5.545177444479562
chia sẻ,251,2,5.5254529391317835
công việc,246,2,5.5053315359323625
cố gắng,245,2,5.501258210544727
chồng chị,242,2,5.488937726156687
mọi người,234,2,5.455321115357702
người con,234,2,5.455321115357702
đặc biệt,229,2,5.43372200355424
bạn bè,223,2,5.407171771460119
nói chuyện,221,2,5.3981627015177525
đơn giản,216,2,5.375278407684165
con người,215,2,5.3706380281276624
quan tâm,212,2,5.356586274672012
trang trí,211,2,5.351858133476067
hôn nhân,210,2,5.3471075307174685
thay đổi,209,2,5.342334251964811
nhiều người,206,2,5.327876168789581
bố mẹ,206,2,5.327876168789581
cà phê,203,2,5.313205979041787
gia vị,192,2,5.2574953720277815
yêu thương,191,2,5.25227342804663
tương lai,190,2,5.247024072160486
người phụ,190,2,5.247024072160486
cuộc đời,190,2,5.247024072160486
người chồng,186,2,5.225746673713202
cả hai,179,2,5.187385805840755
mối quan,176,2,5.170483995038151
vượt qua,175,2,5.1647859739235145
việt nam,175,2,5.1647859739235145
lý do,173,2,5.153291594497779
