lexical_item,frequency,syllable_length,log_frequency
tình cảm của mình,54,4,3.9889840465642745
tâm sự của chị,50,4,3.912023005428146
người đàn ông khác,44,4,3.784189633918261
hạnh phúc gia đình,44,4,3.784189633918261
cuộc sống gia đình,40,4,3.6888794541139363
tình yêu của mình,39,4,3.6635616461296463
bạn trai của bạn,39,4,3.6635616461296463
tâm sự của bạn,32,4,3.4657359027997265
đọc những dòng tâm,30,4,3.4011973816621555
hai người đàn ông,29,4,3.367295829986474
tình cảm của bạn,28,4,3.332204510175204
nói lời chia tay,28,4,3.332204510175204
gia đình hạnh phúc,27,4,3.295836866004329
sau một thời gian,25,4,3.2188758248682006
nói chuyện thẳng thắn,24,4,3.1780538303479458
cuộc sống vợ chồng,24,4,3.1780538303479458
tất cả những gì,24,4,3.1780538303479458
tình yêu đích thực,23,4,3.1354942159291497
người con gái kia,23,4,3.1354942159291497
hiểu và thông cảm,21,4,3.044522437723423
người con gái khác,21,4,3.044522437723423
bạn có thể chọn,21,4,3.044522437723423
giải quyết vấn đề,20,4,2.995732273553991
người trong gia đình,20,4,2.995732273553991
người đàn ông kia,20,4,2.995732273553991
rửa sạch để ráo,20,4,2.995732273553991
quyết định chia tay,19,4,2.9444389791664403
hạt nêm thịt heo,19,4,2.9444389791664403
bạn cũng có thể,19,4,2.9444389791664403
gia đình và bạn,18,4,2.8903717578961645
suy nghĩ của mình,18,4,2.8903717578961645
quan hệ vợ chồng,18,4,2.8903717578961645
người đàn ông nào,18,4,2.8903717578961645
chính bản thân mình,17,4,2.833213344056216
người yêu của mình,17,4,2.833213344056216
đình và bạn bè,16,4,2.772588722239781
người phụ nữ khác,16,4,2.772588722239781
điều quan trọng nhất,16,4,2.772588722239781
mái ấm gia đình,16,4,2.772588722239781
hạnh phúc của mình,16,4,2.772588722239781
tình yêu của hai,16,4,2.772588722239781
đi đến hôn nhân,15,4,2.70805020110221
trước khi quyết định,15,4,2.70805020110221
bạn gái của bạn,15,4,2.70805020110221
thành viên trong gia,15,4,2.70805020110221
viên trong gia đình,15,4,2.70805020110221
cả hai người đàn,15,4,2.70805020110221
nên nói chuyện thẳng,15,4,2.70805020110221
luật pháp can thiệp,15,4,2.70805020110221
cảm thấy hạnh phúc,15,4,2.70805020110221
đọc được những dòng,15,4,2.70805020110221
nói chuyện với nhau,15,4,2.70805020110221
rơi vào hoàn cảnh,15,4,2.70805020110221
người ta có thể,15,4,2.70805020110221
xây dựng gia đình,15,4,2.70805020110221
thời gian tìm hiểu,15,4,2.70805020110221
cảm với hoàn cảnh,15,4,2.70805020110221
hôn nhân của mình,14,4,2.6390573296152584
tình yêu thật sự,14,4,2.6390573296152584
tình cảm của cô,14,4,2.6390573296152584
chưa thật sự yêu,14,4,2.6390573296152584
thảo chẳng có gì,14,4,2.6390573296152584
bạn trai của quỳnh,14,4,2.6390573296152584
bạn trai thảo chẳng,14,4,2.6390573296152584
cô ấy có thể,14,4,2.6390573296152584
trang trí nội thất,14,4,2.6390573296152584
điện thoại di động,14,4,2.6390573296152584
quáng trong tình yêu,13,4,2.5649493574615367
tiến tới hôn nhân,13,4,2.5649493574615367
xây dựng hạnh phúc,13,4,2.5649493574615367
tất cả mọi người,13,4,2.5649493574615367
trao đổi thẳng thắn,13,4,2.5649493574615367
tốt nghiệp đại học,13,4,2.5649493574615367
hoàn cảnh của chị,13,4,2.5649493574615367
muối đường bột ngọt,13,4,2.5649493574615367
chia tay với người,13,4,2.5649493574615367
mình vào vị trí,13,4,2.5649493574615367
người phụ nữ mà,13,4,2.5649493574615367
nghĩ đến tương lai,13,4,2.5649493574615367
thông cảm với hoàn,13,4,2.5649493574615367
bạn trai thảo xem,13,4,2.5649493574615367
quan hệ tình dục,13,4,2.5649493574615367
