lexical_item,frequency,syllable_length,log_frequency
người đàn ông,554,3,6.317164686747284
người phụ nữ,190,3,5.247024072160486
mối quan hệ,171,3,5.14166355650266
người con gái,160,3,5.075173815233827
bản thân mình,94,3,4.543294782270004
người mình yêu,69,3,4.23410650459726
lập gia đình,68,3,4.219507705176107
điều quan trọng,67,3,4.204692619390966
dòng tâm sự,66,3,4.189654742026425
người bạn gái,66,3,4.189654742026425
yêu của mình,60,3,4.0943445622221
hãy cố gắng,59,3,4.07753744390572
muỗng cà phê,58,3,4.060443010546419
chưa bao giờ,55,3,4.007333185232471
quan trọng nhất,55,3,4.007333185232471
cảm của mình,54,3,3.9889840465642745
người con trai,52,3,3.9512437185814275
gia đình chị,52,3,3.9512437185814275
người yêu cũ,51,3,3.9318256327243257
người đàn bà,51,3,3.9318256327243257
sự của chị,51,3,3.9318256327243257
bạn trai thảo,48,3,3.871201010907891
chẳng có gì,48,3,3.871201010907891
chuyện tình cảm,48,3,3.871201010907891
yêu một người,47,3,3.8501476017100584
người bạn trai,47,3,3.8501476017100584
cuộc hôn nhân,46,3,3.828641396489095
phải là người,45,3,3.8066624897703196
đừng bao giờ,44,3,3.784189633918261
người yêu mình,44,3,3.784189633918261
đàn ông khác,44,3,3.784189633918261
phúc gia đình,44,3,3.784189633918261
hạnh phúc gia,44,3,3.784189633918261
nhà sản xuất,42,3,3.7376696182833684
sống gia đình,41,3,3.713572066704308
trai của bạn,41,3,3.713572066704308
đọc tâm sự,40,3,3.6888794541139363
gia đình bạn,40,3,3.6888794541139363
cuộc sống gia,40,3,3.6888794541139363
mình có thể,39,3,3.6635616461296463
nhiều thời gian,39,3,3.6635616461296463
thực sự yêu,38,3,3.6375861597263857
vẫn còn yêu,38,3,3.6375861597263857
cô gái kia,37,3,3.6109179126442243
ai có thể,37,3,3.6109179126442243
chính bản thân,36,3,3.58351893845611
còn có thể,36,3,3.58351893845611
nên nói chuyện,35,3,3.5553480614894135
thật sự yêu,35,3,3.5553480614894135
rất hạnh phúc,35,3,3.5553480614894135
chồng chị hồng,35,3,3.5553480614894135
nên tìm hiểu,35,3,3.5553480614894135
người bạn đời,35,3,3.5553480614894135
cặp vợ chồng,35,3,3.5553480614894135
sự lựa chọn,35,3,3.5553480614894135
mình là người,34,3,3.5263605246161616
thể chấp nhận,34,3,3.5263605246161616
cả hai người,34,3,3.5263605246161616
hãy suy nghĩ,34,3,3.5263605246161616
chị có thể,34,3,3.5263605246161616
sự của bạn,34,3,3.5263605246161616
muốn chia sẻ,34,3,3.5263605246161616
rất nhiều người,33,3,3.4965075614664802
đọc những dòng,33,3,3.4965075614664802
sống vợ chồng,33,3,3.4965075614664802
nên suy nghĩ,32,3,3.4657359027997265
suy nghĩ lại,32,3,3.4657359027997265
sống với nhau,32,3,3.4657359027997265
cảm thấy mình,32,3,3.4657359027997265
bạn là người,32,3,3.4657359027997265
giữa hai người,32,3,3.4657359027997265
nên chia tay,31,3,3.4339872044851463
quán cuối tuần,31,3,3.4339872044851463
phải chấp nhận,31,3,3.4339872044851463
vì lý do,31,3,3.4339872044851463
làm thế nào,31,3,3.4339872044851463
phải làm gì,30,3,3.4011973816621555
câu trả lời,30,3,3.4011973816621555
người xung quanh,30,3,3.4011973816621555
cả gia đình,30,3,3.4011973816621555
lời chia tay,30,3,3.4011973816621555
dành cho bạn,30,3,3.4011973816621555
hai người đàn,29,3,3.367295829986474
bị ảnh hưởng,28,3,3.332204510175204
hai vợ chồng,28,3,3.332204510175204
nói lời chia,28,3,3.332204510175204
nói chuyện thẳng,28,3,3.332204510175204
thể sử dụng,28,3,3.332204510175204
vì thế mà,28,3,3.332204510175204
sống hạnh phúc,28,3,3.332204510175204
thể thay đổi,28,3,3.332204510175204
nước vo gạo,28,3,3.332204510175204
chẳng bao giờ,28,3,3.332204510175204
cảm của bạn,28,3,3.332204510175204
khoảng thời gian,28,3,3.332204510175204
gia đình hạnh,27,3,3.295836866004329
bao cao su,27,3,3.295836866004329
quận tp hcm,27,3,3.295836866004329
thì có thể,27,3,3.295836866004329
về việt nam,27,3,3.295836866004329
đình hạnh phúc,27,3,3.295836866004329
thì có lẽ,27,3,3.295836866004329
cả những gì,26,3,3.258096538021482
thấy hạnh phúc,26,3,3.258096538021482
bạn không thể,26,3,3.258096538021482
mục tâm sự,26,3,3.258096538021482
tình yêu mà,26,3,3.258096538021482
chị là người,26,3,3.258096538021482
cô bạn gái,26,3,3.258096538021482
về vấn đề,25,3,3.2188758248682006
chị hồng hãy,25,3,3.2188758248682006
gia đình mình,25,3,3.2188758248682006
sau một thời,25,3,3.2188758248682006
gia đình em,25,3,3.2188758248682006
mối tình đầu,25,3,3.2188758248682006
hạnh phúc thì,25,3,3.2188758248682006
tình yêu đích,25,3,3.2188758248682006
rất thông cảm,25,3,3.2188758248682006
rất đau khổ,24,3,3.1780538303479458
tất cả đều,24,3,3.1780538303479458
chuyện thẳng thắn,24,3,3.1780538303479458
nhiều màu sắc,24,3,3.1780538303479458
hiểu tại sao,24,3,3.1780538303479458
cô ấy thì,24,3,3.1780538303479458
cuộc sống vợ,24,3,3.1780538303479458
vẫn có thể,24,3,3.1780538303479458
cách cư xử,24,3,3.1780538303479458
lý do gì,23,3,3.1354942159291497
hãy can đảm,23,3,3.1354942159291497
thời gian dài,23,3,3.1354942159291497
tất cả mọi,23,3,3.1354942159291497
làm như vậy,23,3,3.1354942159291497
con gái kia,23,3,3.1354942159291497
thật sự thì,23,3,3.1354942159291497
yêu của bạn,23,3,3.1354942159291497
yêu đích thực,23,3,3.1354942159291497
người có thể,23,3,3.1354942159291497
kiến trúc sư,23,3,3.1354942159291497
làm tổn thương,23,3,3.1354942159291497
sự quan tâm,23,3,3.1354942159291497
tìm cho mình,23,3,3.1354942159291497
chia sẻ cùng,23,3,3.1354942159291497
thì tôi nghĩ,22,3,3.091042453358316
con gái khác,22,3,3.091042453358316
tình yêu chân,22,3,3.091042453358316
quan hệ tình,22,3,3.091042453358316
tạo cảm giác,22,3,3.091042453358316
rất đơn giản,22,3,3.091042453358316
chỉ có thể,22,3,3.091042453358316
dành thời gian,22,3,3.091042453358316
tự quyết định,22,3,3.091042453358316
chưa thật sự,22,3,3.091042453358316
rất quan trọng,22,3,3.091042453358316
đàn ông mà,22,3,3.091042453358316
đều có thể,22,3,3.091042453358316
mới có thể,22,3,3.091042453358316
cảm thấy rất,21,3,3.044522437723423
nhiều gia đình,21,3,3.044522437723423
hiểu và thông,21,3,3.044522437723423
về quá khứ,21,3,3.044522437723423
hơn rất nhiều,21,3,3.044522437723423
dành cho người,21,3,3.044522437723423
nghĩ của mình,21,3,3.044522437723423
tìm hiểu về,21,3,3.044522437723423
lòng tự trọng,21,3,3.044522437723423
làm như thế,21,3,3.044522437723423
chính vì vậy,21,3,3.044522437723423
yêu thật sự,21,3,3.044522437723423
chuyện của bạn,21,3,3.044522437723423
đối với người,21,3,3.044522437723423
cô ấy nói,21,3,3.044522437723423
lại hạnh phúc,21,3,3.044522437723423
nếu có thể,21,3,3.044522437723423
suy nghĩ về,21,3,3.044522437723423
nếu như bạn,20,3,2.995732273553991
đường bột ngọt,20,3,2.995732273553991
định chia tay,20,3,2.995732273553991
về gia đình,20,3,2.995732273553991
phụ nữ khác,20,3,2.995732273553991
làm cho người,20,3,2.995732273553991
quyết định chia,20,3,2.995732273553991
nhưng không phải,20,3,2.995732273553991
phải chịu đựng,20,3,2.995732273553991
đàn ông kia,20,3,2.995732273553991
cô gái khác,20,3,2.995732273553991
cả những người,20,3,2.995732273553991
thìa cà phê,20,3,2.995732273553991
sạch để ráo,20,3,2.995732273553991
con của chị,20,3,2.995732273553991
hình chữ nhật,20,3,2.995732273553991
người tiêu dùng,20,3,2.995732273553991
