lexical_item,frequency,syllable_length,log_frequency
người,6474,1,8.775549434486189
bạn,5823,1,8.66957087183712
chị,4021,1,8.299285906897275
mình,3768,1,8.234299635696253
yêu,3162,1,8.058960017769417
thể,2898,1,7.971776122880628
làm,2840,1,7.951559331155252
thì,2764,1,7.92443418488756
phải,2657,1,7.884952945759814
tình,2577,1,7.854381210652365
sự,2364,1,7.768110378525988
mà,2323,1,7.750614732770409
nhưng,2305,1,7.742835955430749
lại,2274,1,7.729295674310482
nên,2239,1,7.713784616598755
con,2234,1,7.711548979629146
nhiều,2104,1,7.651595573857601
em,2081,1,7.640603826393634
cô,2055,1,7.628031126930335
còn,1982,1,7.591861714889934
rất,1978,1,7.589841512182657
vì,1905,1,7.552237287560802
cảm,1898,1,7.5485559791698735
chồng,1859,1,7.527793987721444
chỉ,1809,1,7.500529485395295
nói,1793,1,7.491645473605133
gia,1736,1,7.459338895220296
về,1714,1,7.446585099157725
nếu,1693,1,7.4342573821331355
hơn,1637,1,7.400620577371135
biết,1615,1,7.387090235656757
đi,1577,1,7.3632795869630385
sống,1563,1,7.354362330421477
hãy,1539,1,7.338888133838879
nhau,1522,1,7.3277805384216315
ăn,1482,1,7.301147805856032
nước,1464,1,7.288927694521257
chuyện,1442,1,7.273786317844895
gì,1436,1,7.269616749608169
cả,1392,1,7.238496840894365
tâm,1386,1,7.234177179749849
đình,1384,1,7.232733136177615
nghĩ,1378,1,7.228388451573604
điều,1347,1,7.205635176410364
mẹ,1298,1,7.168579897264035
sau,1271,1,7.147559271189454
hay,1270,1,7.146772179452637
cách,1255,1,7.134890851565884
ông,1253,1,7.133295954896068
thấy,1246,1,7.1276936993473985
thật,1245,1,7.126890808898808
nào,1243,1,7.1252830915107115
loại,1241,1,7.123672785204607
vợ,1239,1,7.122059881629142
hai,1225,1,7.110696122978827
nhà,1208,1,7.0967213784947605
việc,1199,1,7.089243155027514
thế,1193,1,7.084226422097916
gái,1157,1,7.053585727193677
muốn,1142,1,7.040536390215956
khác,1092,1,6.9957661563048505
thành,1079,1,6.983789965258135
quan,1064,1,6.96979066990159
đồng,1016,1,6.923628628138427
giờ,1001,1,6.90875477931522
cần,987,1,6.894670039433482
cuộc,981,1,6.8885724595653635
rồi,976,1,6.883462586413092
bằng,969,1,6.876264611890766
trên,966,1,6.873163834212518
vậy,964,1,6.871091294610546
quá,958,1,6.86484777797086
thời,955,1,6.86171134048073
đàn,954,1,6.860663671448287
món,949,1,6.855408798609928
nhất,948,1,6.854354502255021
mới,947,1,6.853299093186078
thường,937,1,6.842683282238422
ngày,935,1,6.840546529288687
cá,925,1,6.829793737512425
gian,924,1,6.828712071641684
cùng,917,1,6.821107472256465
công,907,1,6.810142450115136
qua,907,1,6.810142450115136
tự,894,1,6.795705775173514
cái,890,1,6.7912214627261855
họ,888,1,6.78897174299217
nhận,887,1,6.787844982309579
ý,884,1,6.784457062637643
hạnh,880,1,6.779921907472252
vẫn,872,1,6.77078942390898
bị,871,1,6.769641976852503
dùng,861,1,6.7580945044277305
vị,839,1,6.732210706467206
hiện,839,1,6.732210706467206
lên,833,1,6.725033642166843
lúc,827,1,6.717804695023691
phúc,824,1,6.714170529909472
đầu,816,1,6.704414354964107
hoặc,815,1,6.703188113240863
nữa,810,1,6.697034247666484
thân,803,1,6.688354713946762
trước,802,1,6.687108607866515
thực,797,1,6.680854678790215
hiểu,788,1,6.669498089857879
học,778,1,6.656726524178391
đừng,771,1,6.647688373563329
lòng,766,1,6.641182169740591
hợp,765,1,6.639875833826536
tay,755,1,6.626717749249025
định,742,1,6.60934924316738
tìm,739,1,6.6052979209482015
đang,739,1,6.6052979209482015
tốt,733,1,6.597145701886651
giá,714,1,6.570882962339584
nhỏ,712,1,6.568077911411976
trai,709,1,6.5638555265321274
thích,708,1,6.56244409369372
đều,706,1,6.559615237493242
dụng,704,1,6.556778356158042
năm,704,1,6.556778356158042
thương,704,1,6.556778356158042
trọng,703,1,6.555356891810665
hàng,700,1,6.551080335043404
chọn,697,1,6.546785410760524
lần,689,1,6.535241271013659
đây,686,1,6.530877627725885
luôn,681,1,6.523562306149512
bao,679,1,6.520621127558696
tin,679,1,6.520621127558696
bên,677,1,6.517671272912275
lời,665,1,6.499787040655854
chia,656,1,6.486160788944089
vừa,656,1,6.486160788944089
mọi,654,1,6.483107351457199
màu,649,1,6.47543271670409
ai,644,1,6.467698726104354
chính,636,1,6.455198563340122
nhân,635,1,6.453624998892692
lấy,631,1,6.447305862541213
hình,628,1,6.4425401664681985
thứ,626,1,6.439350371100098
sao,626,1,6.439350371100098
trẻ,625,1,6.437751649736401
ngoài,619,1,6.428105272684596
chưa,615,1,6.421622267806518
động,613,1,6.418364935936212
đường,598,1,6.393590753950631
máy,598,1,6.393590753950631
mặt,596,1,6.39024066706535
lý,582,1,6.366470447731438
quyết,580,1,6.363028103540465
tại,574,1,6.352629396319567
hoa,572,1,6.349138991379798
bỏ,567,1,6.340359303727752
bà,566,1,6.338594078203183
đau,565,1,6.336825731146441
hành,560,1,6.327936783729195
tạo,560,1,6.327936783729195
bình,557,1,6.322565239927284
nó,557,1,6.322565239927284
phụ,553,1,6.315358001522335
do,553,1,6.315358001522335
bánh,550,1,6.309918278226516
đẹp,549,1,6.3080984415095305
thịt,546,1,6.302618975744905
đời,545,1,6.300785794663244
tuổi,544,1,6.298949246855942
độ,543,1,6.297109319933935
khó,541,1,6.293419278846481
hết,537,1,6.285998094508865
dù,535,1,6.282266746896006
thêm,533,1,6.278521424165844
nữ,530,1,6.272877006546167
sinh,524,1,6.261491684321042
đối,521,1,6.255750041753367
tính,520,1,6.253828811575473
phòng,512,1,6.238324625039508
hoàn,503,1,6.220590170099739
lớn,499,1,6.212606095751519
cứ,492,1,6.198478716492308
quỳnh,487,1,6.18826412308259
phần,484,1,6.182084906716632
riêng,482,1,6.1779441140506
trở,482,1,6.1779441140506
dễ,481,1,6.175867270105761
suy,481,1,6.175867270105761
cao,478,1,6.169610732491456
bản,475,1,6.163314804034641
trang,475,1,6.163314804034641
trí,474,1,6.161207321695077
mỗi,470,1,6.152732694704104
khoảng,468,1,6.148468295917647
sản,467,1,6.1463292576688975
nhiên,466,1,6.144185634125646
thông,464,1,6.139884552226255
đâu,462,1,6.135564891081739
khổ,459,1,6.129050210060545
chẳng,459,1,6.129050210060545
xa,459,1,6.129050210060545
từng,457,1,6.124683390894205
gặp,456,1,6.1224928095143865
chịu,453,1,6.115892125483034
trường,452,1,6.113682179832232
điểm,451,1,6.111467339502679
chung,447,1,6.102558594613569
cảnh,446,1,6.100318952020064
trung,444,1,6.095824562432225
lá,443,1,6.093569770045136
thiết,443,1,6.093569770045136
nay,440,1,6.0867747269123065
tới,439,1,6.0844994130751715
càng,438,1,6.082218910376446
tương,437,1,6.07993319509559
kết,436,1,6.077642243349034
khách,436,1,6.077642243349034
giúp,433,1,6.07073772800249
xem,433,1,6.07073772800249
quả,432,1,6.068425588244111
thức,428,1,6.059123195581797
bộ,428,1,6.059123195581797
hệ,425,1,6.052089168924417
tất,423,1,6.0473721790462776
hôn,421,1,6.042632833682381
dành,420,1,6.040254711277414
sáng,420,1,6.040254711277414
mua,420,1,6.040254711277414
trái,410,1,6.016157159698354
ba,410,1,6.016157159698354
thôi,406,1,6.0063531596017325
tiếp,406,1,6.0063531596017325
phẩm,406,1,6.0063531596017325
mất,404,1,6.0014148779611505
đúng,404,1,6.0014148779611505
câu,404,1,6.0014148779611505
buồn,404,1,6.0014148779611505
số,403,1,5.998936561946683
đề,400,1,5.991464547107982
