lexical_item,frequency,log_frequency,syllable_length,source_file,keep_status,filter_reason,warning_flag
cốc,19,2.9444389791664403,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
ngân,23,3.1354942159291497,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
cỏ,26,3.258096538021482,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
núi,31,3.4339872044851463,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
rừng,31,3.4339872044851463,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
án,32,3.4657359027997265,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
viện,39,3.6635616461296463,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
bút,41,3.713572066704308,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
mũ,47,3.8501476017100575,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
dịch,52,3.951243718581428,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
thuốc,57,4.04305126783455,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
môi,58,4.060443010546419,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
sông,60,4.0943445622221,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
biển,64,4.158883083359672,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
luật,74,4.30406509320417,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
báo,79,4.3694478524670215,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
quyền,84,4.430816798843313,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
trị,91,4.51085950651685,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
sách,97,4.574710978503383,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
thống,104,4.6443908991413725,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
nghệ,105,4.653960350157523,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
chợ,108,4.68213122712422,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
bệnh,111,4.709530201312334,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
gió,118,4.770684624465665,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
ghế,133,4.890349128221754,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
đất,138,4.927253685157205,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
đá,140,4.941642422609304,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
dân,155,5.043425116919247,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
vải,178,5.181783550292085,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
áo,184,5.214935757608986,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
lực,199,5.293304824724492,1,unigrams_frequency.csv,keep,kept_after_rule_filter,
