trial_id,stimulus,condition,is_word,correct_response,source_realword,frequency,log_frequency,frequency_group,syllable_length,modification_type,modified_syllable_position,original_syllable,modified_syllable
LDT3X4_001,bệc viện,pseudoword,0,nonword,bệnh viện,NA,NA,control,2,final_consonant_change,1,bệnh,bệc
LDT3X4_002,núi,word,1,word,núi,31,3.433987204,low,1,NA,NA,NA,NA
LDT3X4_003,cơ só sản xuất,pseudoword,0,nonword,cơ sở sản xuất,NA,NA,control,4,tone_change,2,sở,só
LDT3X4_004,trính độ học vấn,pseudoword,0,nonword,trình độ học vấn,NA,NA,control,4,tone_change,1,trình,trính
LDT3X4_005,loại sản phẩm,word,1,word,loại sản phẩm,10,2.302585093,low,3,NA,NA,NA,NA
LDT3X4_006,đèn,word,1,word,đèn,306,5.723585102,high,1,NA,NA,NA,NA
LDT3X4_007,mối quan hế,pseudoword,0,nonword,mối quan hệ,NA,NA,control,3,vowel_change,3,hệ,hế
LDT3X4_008,điện thoại di động,word,1,word,điện thoại di động,14,2.6390573296152584,high,4,NA,NA,NA,NA
LDT3X4_009,tâm lỵ học,pseudoword,0,nonword,tâm lý học,NA,NA,control,3,tone_change,2,lý,lỵ
LDT3X4_010,hệ thóng,pseudoword,0,nonword,hệ thống,NA,NA,control,2,tone_change,2,thống,thóng
LDT3X4_011,sức hấp dẫn,word,1,word,sức hấp dẫn,15,2.70805020110221,mid,3,NA,NA,NA,NA
LDT3X4_012,nước uống thé thao,pseudoword,0,nonword,nước uống thể thao,NA,NA,control,4,tone_change,3,thể,thé
LDT3X4_013,kiến trúc sư,word,1,word,kiến trúc sư,23,3.13549421592915,high,3,NA,NA,NA,NA
LDT3X4_014,máy đo huyết áp,word,1,word,máy đo huyết áp,3,1.098612289,low,4,NA,NA,NA,NA
LDT3X4_015,hệ thống,word,1,word,hệ thống,37,3.610917913,high,2,NA,NA,NA,NA
LDT3X4_016,trị,word,1,word,trị,91,4.510859507,low,1,NA,NA,NA,NA
LDT3X4_017,nước vọ gạo,pseudoword,0,nonword,nước vo gạo,NA,NA,control,3,tone_change,2,vo,vọ
LDT3X4_018,giáo dục,word,1,word,giáo dục,23,3.135494216,mid,2,NA,NA,NA,NA
LDT3X4_019,cốc,word,1,word,cốc,19,2.944438979,low,1,NA,NA,NA,NA
LDT3X4_020,lực,word,1,word,lực,199,5.293304825,mid,1,NA,NA,NA,NA
LDT3X4_021,máy hủt bụi,pseudoword,0,nonword,máy hút bụi,NA,NA,control,3,tone_change,2,hút,hủt
LDT3X4_022,trý,pseudoword,0,nonword,trị,NA,NA,control,1,vowel_change,1,trị,trý
LDT3X4_023,địm kiến xã hội,pseudoword,0,nonword,định kiến xã hội,NA,NA,control,4,final_consonant_change,1,định,địm
LDT3X4_024,nước xọt,pseudoword,0,nonword,nước xốt,NA,NA,control,2,tone_change,2,xốt,xọt
LDT3X4_025,môi trường bẹn ngoài,pseudoword,0,nonword,môi trường bên ngoài,NA,NA,control,4,tone_change,3,bên,bẹn
LDT3X4_026,lá,word,1,word,lá,443,6.09356977,high,1,NA,NA,NA,NA
LDT3X4_027,hình chữ nhật,word,1,word,hình chữ nhật,20,2.99573227355399,high,3,NA,NA,NA,NA
LDT3X4_028,nhâ cửa,pseudoword,0,nonword,nhà cửa,NA,NA,control,2,vowel_change,1,nhà,nhâ
LDT3X4_029,máy nước nóng,word,1,word,máy nước nóng,6,1.791759469,low,3,NA,NA,NA,NA
LDT3X4_030,lủc,pseudoword,0,nonword,lực,NA,NA,control,1,tone_change,1,lực,lủc
LDT3X4_031,máy nghe nhảc,pseudoword,0,nonword,máy nghe nhạc,NA,NA,control,3,tone_change,3,nhạc,nhảc
LDT3X4_032,công ty,word,1,word,công ty,135,4.905274778,high,2,NA,NA,NA,NA
LDT3X4_033,đồng nghiệp,word,1,word,đồng nghiệp,45,3.80666249,high,2,NA,NA,NA,NA
LDT3X4_034,vản hóa,pseudoword,0,nonword,văn hóa,NA,NA,control,2,tone_change,1,văn,vản
