trial_id,stimulus,condition,is_word,correct_response,source_realword,frequency,log_frequency,syllable_length,modification_type,modified_syllable_position,original_syllable,modified_syllable
LDT_001,biểc,pseudoword,0,nonword,biển,NA,NA,1,final_consonant_change,1,biển,biểc
LDT_002,bàc,pseudoword,0,nonword,bàn,NA,NA,1,final_consonant_change,1,bàn,bàc
LDT_003,búc,pseudoword,0,nonword,bút,NA,NA,1,final_consonant_change,1,bút,búc
LDT_004,chá,pseudoword,0,nonword,chợ,NA,NA,1,vowel_change,1,chợ,chá
LDT_005,khây,pseudoword,0,nonword,cây,NA,NA,1,onset_change,1,cây,khây
LDT_006,cở,pseudoword,0,nonword,cỏ,NA,NA,1,vowel_change,1,cỏ,cở
LDT_007,côc,pseudoword,0,nonword,cốc,NA,NA,1,vowel_change,1,cốc,côc
LDT_008,bửa,pseudoword,0,nonword,cửa,NA,NA,1,onset_change,1,cửa,bửa
LDT_009,dản,pseudoword,0,nonword,dân,NA,NA,1,tone_change,1,dân,dản
LDT_010,ghể,pseudoword,0,nonword,ghế,NA,NA,1,vowel_change,1,ghế,ghể
LDT_011,gá,pseudoword,0,nonword,giá,NA,NA,1,onset_change,1,giá,gá
LDT_012,hó,pseudoword,0,nonword,gió,NA,NA,1,onset_change,1,gió,hó
LDT_013,đoa,pseudoword,0,nonword,hoa,NA,NA,1,onset_change,1,hoa,đoa
LDT_014,hàc,pseudoword,0,nonword,hàng,NA,NA,1,final_consonant_change,1,hàng,hàc
LDT_015,luậc,pseudoword,0,nonword,luật,NA,NA,1,final_consonant_change,1,luật,luậc
LDT_016,lâ,pseudoword,0,nonword,lá,NA,NA,1,vowel_change,1,lá,lâ
LDT_017,lủc,pseudoword,0,nonword,lực,NA,NA,1,tone_change,1,lực,lủc
LDT_018,mố,pseudoword,0,nonword,mũ,NA,NA,1,vowel_change,1,mũ,mố
LDT_019,măt,pseudoword,0,nonword,mắt,NA,NA,1,vowel_change,1,mắt,măt
LDT_020,nhâ,pseudoword,0,nonword,nhà,NA,NA,1,vowel_change,1,nhà,nhâ
LDT_021,búi,pseudoword,0,nonword,núi,NA,NA,1,onset_change,1,núi,búi
LDT_022,nướp,pseudoword,0,nonword,nước,NA,NA,1,final_consonant_change,1,nước,nướp
LDT_023,rúng,pseudoword,0,nonword,rừng,NA,NA,1,tone_change,1,rừng,rúng
LDT_024,sảch,pseudoword,0,nonword,sách,NA,NA,1,tone_change,1,sách,sảch
LDT_025,sọng,pseudoword,0,nonword,sông,NA,NA,1,tone_change,1,sông,sọng
LDT_026,thuốn,pseudoword,0,nonword,thuốc,NA,NA,1,final_consonant_change,1,thuốc,thuốn
LDT_027,týn,pseudoword,0,nonword,tin,NA,NA,1,vowel_change,1,tin,týn
LDT_028,tiềc,pseudoword,0,nonword,tiền,NA,NA,1,final_consonant_change,1,tiền,tiềc
LDT_029,trý,pseudoword,0,nonword,trị,NA,NA,1,vowel_change,1,trị,trý
LDT_030,bải,pseudoword,0,nonword,vải,NA,NA,1,onset_change,1,vải,bải
LDT_031,vảt,pseudoword,0,nonword,vật,NA,NA,1,tone_change,1,vật,vảt
LDT_032,xể,pseudoword,0,nonword,xe,NA,NA,1,vowel_change,1,xe,xể
LDT_033,máo,pseudoword,0,nonword,áo,NA,NA,1,onset_change,1,áo,máo
LDT_034,đâ,pseudoword,0,nonword,đá,NA,NA,1,vowel_change,1,đá,đâ
LDT_035,đén,pseudoword,0,nonword,đèn,NA,NA,1,tone_change,1,đèn,đén
LDT_036,đườm,pseudoword,0,nonword,đường,NA,NA,1,final_consonant_change,1,đường,đườm
LDT_037,đat,pseudoword,0,nonword,đất,NA,NA,1,tone_change,1,đất,đat
LDT_038,biệc pháp,pseudoword,0,nonword,biện pháp,NA,NA,2,final_consonant_change,1,biện,biệc
LDT_039,bệc viện,pseudoword,0,nonword,bệnh viện,NA,NA,2,final_consonant_change,1,bệnh,bệc
LDT_040,chẹn nước,pseudoword,0,nonword,chén nước,NA,NA,2,tone_change,1,chén,chẹn
LDT_041,cây cảc,pseudoword,0,nonword,cây cảnh,NA,NA,2,final_consonant_change,2,cảnh,cảc
LDT_042,cây xạnh,pseudoword,0,nonword,cây xanh,NA,NA,2,tone_change,2,xanh,xạnh
LDT_043,côm nghiệp,pseudoword,0,nonword,công nghiệp,NA,NA,2,final_consonant_change,1,công,côm
LDT_044,côm ty,pseudoword,0,nonword,công ty,NA,NA,2,final_consonant_change,1,công,côm
LDT_045,cửa hàc,pseudoword,0,nonword,cửa hàng,NA,NA,2,final_consonant_change,2,hàng,hàc
LDT_046,giá thàc,pseudoword,0,nonword,giá thành,NA,NA,2,final_consonant_change,2,thành,thàc
LDT_047,giá vể,pseudoword,0,nonword,giá vé,NA,NA,2,vowel_change,2,vé,vể
LDT_048,giáo dụn,pseudoword,0,nonword,giáo dục,NA,NA,2,final_consonant_change,2,dục,dụn
LDT_049,hơi nướm,pseudoword,0,nonword,hơi nước,NA,NA,2,final_consonant_change,2,nước,nướm
LDT_050,hệ thóng,pseudoword,0,nonword,hệ thống,NA,NA,2,tone_change,2,thống,thóng
LDT_051,học thủc,pseudoword,0,nonword,học thức,NA,NA,2,tone_change,2,thức,thủc
LDT_052,khoa hỏc,pseudoword,0,nonword,khoa học,NA,NA,2,tone_change,2,học,hỏc
LDT_053,khách hàc,pseudoword,0,nonword,khách hàng,NA,NA,2,final_consonant_change,2,hàng,hàc
LDT_054,kinh té,pseudoword,0,nonword,kinh tế,NA,NA,2,tone_change,2,tế,té
LDT_055,lao đơng,pseudoword,0,nonword,lao động,NA,NA,2,vowel_change,2,động,đơng
LDT_056,luật phạp,pseudoword,0,nonword,luật pháp,NA,NA,2,tone_change,2,pháp,phạp
LDT_057,mái nhâ,pseudoword,0,nonword,mái nhà,NA,NA,2,vowel_change,2,nhà,nhâ
LDT_058,máy lânh,pseudoword,0,nonword,máy lạnh,NA,NA,2,vowel_change,2,lạnh,lânh
LDT_059,báy xay,pseudoword,0,nonword,máy xay,NA,NA,2,onset_change,1,máy,báy
LDT_060,mứm giá,pseudoword,0,nonword,mức giá,NA,NA,2,final_consonant_change,1,mức,mứm
LDT_061,nghẻ thuật,pseudoword,0,nonword,nghệ thuật,NA,NA,2,tone_change,1,nghệ,nghẻ
LDT_062,nhâ cửa,pseudoword,0,nonword,nhà cửa,NA,NA,2,vowel_change,1,nhà,nhâ
LDT_063,nhà hàc,pseudoword,0,nonword,nhà hàng,NA,NA,2,final_consonant_change,2,hàng,hàc
LDT_064,nướm dừa,pseudoword,0,nonword,nước dừa,NA,NA,2,final_consonant_change,1,nước,nướm
LDT_065,nướm muối,pseudoword,0,nonword,nước muối,NA,NA,2,final_consonant_change,1,nước,nướm
LDT_066,nước xọt,pseudoword,0,nonword,nước xốt,NA,NA,2,tone_change,2,xốt,xọt
LDT_067,nướm đường,pseudoword,0,nonword,nước đường,NA,NA,2,final_consonant_change,1,nước,nướm
LDT_068,phạp luật,pseudoword,0,nonword,pháp luật,NA,NA,2,tone_change,1,pháp,phạp
LDT_069,phương phạp,pseudoword,0,nonword,phương pháp,NA,NA,2,tone_change,2,pháp,phạp
LDT_070,thị trườc,pseudoword,0,nonword,thị trường,NA,NA,2,final_consonant_change,2,trường,trườc
LDT_071,týnh tế,pseudoword,0,nonword,tinh tế,NA,NA,2,vowel_change,1,tinh,týnh
LDT_072,truyền thóng,pseudoword,0,nonword,truyền thống,NA,NA,2,tone_change,2,thống,thóng
LDT_073,vản hóa,pseudoword,0,nonword,văn hóa,NA,NA,2,tone_change,1,văn,vản
LDT_074,xể đẩy,pseudoword,0,nonword,xe đẩy,NA,NA,2,vowel_change,1,xe,xể
LDT_075,đat nước,pseudoword,0,nonword,đất nước,NA,NA,2,tone_change,1,đất,đat
LDT_076,đồc nghiệp,pseudoword,0,nonword,đồng nghiệp,NA,NA,2,final_consonant_change,1,đồng,đồc
LDT_077,chuyệc tình cảm,pseudoword,0,nonword,chuyện tình cảm,NA,NA,3,final_consonant_change,1,chuyện,chuyệc
LDT_078,chủ cửa hàc,pseudoword,0,nonword,chủ cửa hàng,NA,NA,3,final_consonant_change,3,hàng,hàc
