"lexical_item","frequency","log_frequency","syllable_length","source_file","keep_status","filter_reason","warning_flag","keep","confidence","reason","notes"
"cốc","19","2.944438979","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"cỏ","26","3.258096538","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"núi","31","3.433987204","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"rừng","31","3.433987204","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"bút","41","3.713572067","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"mũ","47","3.850147602","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"thuốc","57","4.043051268","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"sông","60","4.094344562","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"biển","64","4.158883083","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"luật","74","4.304065093","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"trị","91","4.510859507","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"sách","97","4.574710979","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"chợ","108","4.682131227","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"gió","118","4.770684624","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"ghế","133","4.890349128","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"đất","138","4.927253685","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"đá","140","4.941642423","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"dân","155","5.043425117","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"vải","178","5.18178355","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"áo","184","5.214935758","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"lực","199","5.293304825","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"xe","217","5.379897354","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"vật","252","5.529429088","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"cửa","258","5.552959585","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"cây","281","5.638354669","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"đèn","306","5.723585102","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"mắt","317","5.758901774","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"tiền","317","5.758901774","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"bàn","333","5.80814249","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"lá","443","6.09356977","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"hoa","572","6.349138991","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"đường","598","6.393590754","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"tin","679","6.520621128","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"hàng","700","6.551080335","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"giá","714","6.570882962","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nhà","1208","7.096721378","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nước","1464","7.288927695","1","unigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"hơi nước","11","2.397895273","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"máy lạnh","11","2.397895273","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nước muối","11","2.397895273","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"biện pháp","12","2.48490665","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"cây cảnh","12","2.48490665","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"cây xanh","12","2.48490665","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"giá vé","12","2.48490665","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nước xốt","12","2.48490665","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"tinh tế","12","2.48490665","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"đất nước","12","2.48490665","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"bệnh viện","13","2.564949357","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"chén nước","14","2.63905733","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"mái nhà","14","2.63905733","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"xe đẩy","14","2.63905733","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"giá thành","16","2.772588722","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"mức giá","16","2.772588722","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"pháp luật","16","2.772588722","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nước đường","17","2.833213344","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"máy xay","18","2.890371758","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"phương pháp","19","2.944438979","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"khoa học","20","2.995732274","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nhà cửa","20","2.995732274","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"lao động","21","3.044522438","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"giáo dục","23","3.135494216","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"học thức","24","3.17805383","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"luật pháp","26","3.258096538","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"công nghiệp","27","3.295836866","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nước dừa","28","3.33220451","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"văn hóa","28","3.33220451","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nghệ thuật","30","3.401197382","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"kinh tế","36","3.583518938","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"hệ thống","37","3.610917913","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"khách hàng","38","3.63758616","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"đồng nghiệp","45","3.80666249","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"truyền thống","46","3.828641396","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"cửa hàng","61","4.110873864","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"thị trường","128","4.852030264","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nhà hàng","131","4.875197323","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"công ty","135","4.905274778","2","bigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"chủ cửa hàng","6","1.791759469","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"hãng sản xuất","6","1.791759469","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"máy nước nóng","6","1.791759469","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"tâm lý học","6","1.791759469","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nét văn hóa","7","1.945910149","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nước hoa hồng","8","2.079441542","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"trường đại học","8","2.079441542","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nhà thiết kế","9","2.197224577","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nước trái cây","9","2.197224577","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"dòng sản phẩm","10","2.302585093","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"loại sản phẩm","10","2.302585093","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"máy hút khói","10","2.302585093","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"máy điều hòa","10","2.302585093","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"loại thực phẩm","13","2.564949357","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"máy hút bụi","13","2.564949357","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"máy vi tính","13","2.564949357","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"máy nghe nhạc","18","2.890371758","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nước cốt dừa","18","2.890371758","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nước vo gạo","28","3.33220451","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nhà sản xuất","42","3.737669618","3","trigrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"cơ sở sản xuất","3","1.098612289","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"cửa hàng thực phẩm","3","1.098612289","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"máy đo huyết áp","3","1.098612289","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"môi trường bên ngoài","3","1.098612289","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nghiên cứu khoa học","3","1.098612289","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"tai nạn lao động","3","1.098612289","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"văn hóa ẩm thực","3","1.098612289","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"đánh mất lòng tin","3","1.098612289","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"định kiến xã hội","3","1.098612289","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"cửa hàng hoa tươi","4","1.386294361","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"diễn đàn quốc tế","4","1.386294361","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nước uống thể thao","4","1.386294361","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"quan hệ xã hội","4","1.386294361","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"thủ công mỹ nghệ","4","1.386294361","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"giám đốc công ty","5","1.609437912","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"hoạt động xã hội","5","1.609437912","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"máy xay sinh tố","5","1.609437912","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"thị trường nội địa","5","1.609437912","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"điều kiện kinh tế","5","1.609437912","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"công nghệ thông tin","6","1.791759469","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"máy pha cà phê","6","1.791759469","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"nước mắm nguyên chất","6","1.791759469","4","fourgrams_frequency.csv","keep","kept_after_rule_filter","","1.0","","",""
"mối quan hệ","171","5.14166355650266","3","trigrams_frequency.csv","approved_rebalance_addition","added_from_rebalance_review","","1","high","High-frequency stable abstract noun/concept; interpretable standalone as relationship/social relation, not a fragment.","added in v2 rebalance to improve 2/3 syllable balance"
"muỗng cà phê","58","4.06044301054642","3","trigrams_frequency.csv","approved_rebalance_addition","added_from_rebalance_review","","1","high","Concrete household/measurement noun phrase; high-frequency and interpretable without broader sentence context.","added in v2 rebalance to improve 2/3 syllable balance"
"cuộc hôn nhân","46","3.8286413964891","3","trigrams_frequency.csv","approved_rebalance_addition","added_from_rebalance_review","","1","high","Stable noun concept/event nominal; clearer standalone lexical item than loss/action phrases.","added in v2 rebalance to improve 2/3 syllable balance"
"câu trả lời","30","3.40119738166216","3","trigrams_frequency.csv","approved_rebalance_addition","added_from_rebalance_review","","1","high","Stable noun phrase meaning answer/response; common and interpretable without context.","added in v2 rebalance to improve 2/3 syllable balance"
"khoảng thời gian","28","3.3322045101752","3","trigrams_frequency.csv","approved_rebalance_addition","added_from_rebalance_review","","1","high","Stable temporal concept; noun-like and substantially higher-frequency than current weak additions.","added in v2 rebalance to improve 2/3 syllable balance"
"kiến trúc sư","23","3.13549421592915","3","trigrams_frequency.csv","approved_rebalance_addition","added_from_rebalance_review","","1","high","Stable profession noun; clearly lexicalized, not context-dependent, and not a named entity.","added in v2 rebalance to improve 2/3 syllable balance"
