pseudoword,syllable_length,quality_flag,source_method,component_syllables,corpus_match_status,possible_meaning_warning,review_status,notes
phớ,1,high,v3_minimal_modification_of_attested_syllable,phụ,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
găch,1,medium,v3_minimal_modification_of_attested_syllable,gạch,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
gỏp,1,high,v3_minimal_modification_of_attested_syllable,gặp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
bứng,1,medium,v3_minimal_modification_of_attested_syllable,bức,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
hẹm,1,high,v3_minimal_modification_of_attested_syllable,hẹn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
hìm,1,medium,v3_minimal_modification_of_attested_syllable,hình,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
đẩp,1,medium,v3_minimal_modification_of_attested_syllable,đắp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
lơc,1,high,v3_minimal_modification_of_attested_syllable,lực,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
phấ,1,medium,v3_minimal_modification_of_attested_syllable,phá,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
sỏng,1,medium,v3_minimal_modification_of_attested_syllable,sống,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
đểnh,1,high,v3_minimal_modification_of_attested_syllable,định,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
đừc,1,medium,v3_minimal_modification_of_attested_syllable,đừng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
gống,1,medium,v3_minimal_modification_of_attested_syllable,gốm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
dởc,1,high,v3_minimal_modification_of_attested_syllable,dục,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
tửn,1,high,v3_minimal_modification_of_attested_syllable,tôn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
trớc,1,high,v3_minimal_modification_of_attested_syllable,trúc,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
xôp,1,medium,v3_minimal_modification_of_attested_syllable,xốp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
đật,1,high,v3_minimal_modification_of_attested_syllable,đậm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
vởng,1,high,v3_minimal_modification_of_attested_syllable,vàng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
lớc,1,high,v3_minimal_modification_of_attested_syllable,lớp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
nhản,1,medium,v3_minimal_modification_of_attested_syllable,nhận,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
tơc,1,high,v3_minimal_modification_of_attested_syllable,tức,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable
