pseudoword,syllable_length,quality_flag,naturalness_score,pre_review_priority,source_method,component_syllables,corpus_match_status,possible_meaning_warning,auto_screen_note,review_status,notes,keep_manual,reject_manual,manual_note,final_selected
bứm,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,bức,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
chấ,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,chợ,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
chấc,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,chấm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
chố,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,chủ,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
chớn,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,chân,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
cỏm,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,cảm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
dón,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,dân,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
dẫp,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,dẫn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
dếch,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,dịch,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
dởc,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,dục,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
gỏp,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,gặp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
hơng,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,hãng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
hẹm,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,hẹn,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
kỷch,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,kích,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
lém,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,lầm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
lơc,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,lực,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
lưc,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,lóc,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
lẩt,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,lột,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
lớc,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,lớp,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
mẻng,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,mảng,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
nhá,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,nhé,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
nhê,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,nhị,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
nóm,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,nắm,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
phẻt,1,high,100,preferred_review_candidate,v3_minimal_modification_of_attested_syllable,phát,no exact match in corpus/candidate/final-real-word files,none_detected_by_heuristic,none,needs_manual_review,single-syllable nonword generated by minimal modification of real syllable,,,,
