lexical_item,frequency,syllable_length,log_frequency
anh,502,1,6.218600119691729
tôi,415,1,6.028278520230698
có,339,1,5.82600010738045
không,318,1,5.762051382780177
và,299,1,5.700443573390687
của,253,1,5.53338948872752
người,247,1,5.5093883366279774
là,230,1,5.438079308923196
yêu,230,1,5.438079308923196
với,204,1,5.318119993844216
bạn,182,1,5.204006687076795
những,180,1,5.19295685089021
một,171,1,5.14166355650266
cho,169,1,5.1298987149230735
được,168,1,5.123963979403259
ấy,152,1,5.0238805208462765
như,145,1,4.976733742420574
thể,143,1,4.962844630259907
cũng,141,1,4.948759890378168
cô,140,1,4.941642422609304
mình,138,1,4.927253685157205
tình,135,1,4.90527477843843
khi,117,1,4.762173934797756
trong,115,1,4.74493212836325
để,114,1,4.736198448394496
cảm,110,1,4.700480365792417
đã,106,1,4.663439094112067
các,103,1,4.634728988229636
mà,101,1,4.61512051684126
sự,99,1,4.59511985013459
đó,98,1,4.584967478670572
phải,89,1,4.48863636973214
làm,88,1,4.477336814478207
thì,87,1,4.465908118654584
sẽ,80,1,4.382026634673881
nhau,79,1,4.3694478524670215
nhiều,78,1,4.356708826689592
thành,78,1,4.356708826689592
rất,77,1,4.343805421853684
nhưng,77,1,4.343805421853684
nên,75,1,4.31748811353631
con,71,1,4.2626798770413155
vì,71,1,4.2626798770413155
đến,71,1,4.2626798770413155
còn,71,1,4.2626798770413155
ở,70,1,4.248495242049359
nói,69,1,4.23410650459726
gái,67,1,4.204692619390966
lại,66,1,4.189654742026425
nghĩ,66,1,4.189654742026425
hơn,66,1,4.189654742026425
rằng,65,1,4.174387269895637
biết,63,1,4.143134726391533
cả,63,1,4.143134726391533
màu,62,1,4.127134385045092
em,60,1,4.0943445622221
hay,59,1,4.07753744390572
điều,58,1,4.060443010546419
chỉ,58,1,4.060443010546419
nàng,57,1,4.04305126783455
thấy,56,1,4.02535169073515
cần,56,1,4.02535169073515
ra,55,1,4.007333185232471
thế,55,1,4.007333185232471
về,53,1,3.970291913552122
thật,51,1,3.9318256327243257
nào,50,1,3.912023005428146
này,50,1,3.912023005428146
học,50,1,3.912023005428146
rượu,50,1,3.912023005428146
muốn,49,1,3.8918202981106265
đi,49,1,3.8918202981106265
hiện,49,1,3.8918202981106265
nếu,49,1,3.8918202981106265
đồng,49,1,3.8918202981106265
mẹ,49,1,3.8918202981106265
hai,47,1,3.8501476017100584
khác,46,1,3.828641396489095
gì,45,1,3.8066624897703196
ăn,43,1,3.7612001156935624
hiểu,43,1,3.7612001156935624
tâm,43,1,3.7612001156935624
vậy,43,1,3.7612001156935624
việc,43,1,3.7612001156935624
nhất,43,1,3.7612001156935624
loại,42,1,3.7376696182833684
hãy,42,1,3.7376696182833684
