lexical_item,frequency,syllable_length,log_frequency
nghêu nấu,1,2,0.0
nấu khế,1,2,0.0
khế đây,1,2,0.0
món ăn,14,2,2.6390573296152584
ăn dân,1,2,0.0
dân dã,1,2,0.0
dã ngon,1,2,0.0
dễ làm,1,2,0.0
làm thương,1,2,0.0
bữa ăn,2,2,0.6931471805599453
ăn hằng,1,2,0.0
hằng ngày,1,2,0.0
ngày rất,1,2,0.0
rất phù,1,2,0.0
phù hợp,7,2,1.9459101490553132
ngày nắng,1,2,0.0
nắng nóng,1,2,0.0
nóng g,1,2,0.0
g thịt,1,2,0.0
thịt nghêu,1,2,0.0
nghêu nên,1,2,0.0
nên mua,2,2,0.6931471805599453
mua loại,2,2,0.6931471805599453
sơ chế,1,2,0.0
chế sẵn,1,2,0.0
bán rất,1,2,0.0
rất nhiều,8,2,2.0794415416798357
nhiều ở,1,2,0.0
ở hàng,1,2,0.0
hàng hải,1,2,0.0
hải sản,1,2,0.0
sản hai,1,2,0.0
hai quả,1,2,0.0
quả khế,1,2,0.0
khế chua,1,2,0.0
chua rửa,1,2,0.0
rửa sạch,3,2,1.0986122886681098
sạch cắt,1,2,0.0
cắt bỏ,1,2,0.0
bỏ cạnh,1,2,0.0
cạnh thái,1,2,0.0
thái lát,1,2,0.0
lát mỏng,1,2,0.0
quả ớt,1,2,0.0
ớt sừng,2,2,0.6931471805599453
sừng thái,1,2,0.0
thái sợi,1,2,0.0
sợi hai,1,2,0.0
hai thìa,1,2,0.0
thìa giấm,1,2,0.0
giấm hành,1,2,0.0
hành lá,1,2,0.0
lá rau,1,2,0.0
rau răm,1,2,0.0
răm rửa,1,2,0.0
sạch thái,1,2,0.0
thái nhỏ,1,2,0.0
nhỏ nước,1,2,0.0
nước mắm,6,2,1.791759469228055
mắm hạt,1,2,0.0
hạt nêm,2,2,0.6931471805599453
nêm tiêu,1,2,0.0
tiêu đường,1,2,0.0
đường tỏi,1,2,0.0
tỏi băm,1,2,0.0
băm cách,1,2,0.0
cách làm,1,2,0.0
nghêu vào,2,2,0.6931471805599453
vào rổ,1,2,0.0
rổ ngâm,1,2,0.0
ngâm vào,1,2,0.0
vào chậu,1,2,0.0
chậu nước,1,2,0.0
pha giấm,1,2,0.0
giấm dùng,1,2,0.0
dùng tay,1,2,0.0
tay chà,1,2,0.0
chà sạch,1,2,0.0
sạch nhớt,1,2,0.0
cát rửa,1,2,0.0
rửa lại,1,2,0.0
lại bằng,1,2,0.0
bằng nước,1,2,0.0
nước lạnh,1,2,0.0
lạnh để,1,2,0.0
để ráo,1,2,0.0
ráo đun,1,2,0.0
đun nóng,1,2,0.0
nóng dầu,1,2,0.0
dầu phi,1,2,0.0
phi thơm,2,2,0.6931471805599453
thơm tỏi,1,2,0.0
vào xào,1,2,0.0
xào nhanh,1,2,0.0
nhanh tay,2,2,0.6931471805599453
tay múc,1,2,0.0
múc ra,2,2,0.6931471805599453
ra bát,1,2,0.0
thêm chút,1,2,0.0
