lexical_item,frequency,syllable_length,log_frequency
nghêu,5,1,1.6094379124341003
nấu,5,1,1.6094379124341003
khế,3,1,1.0986122886681098
đây,23,1,3.1354942159291497
là,230,1,5.438079308923196
một,171,1,5.14166355650266
món,35,1,3.5553480614894135
ăn,43,1,3.7612001156935624
dân,7,1,1.9459101490553132
dã,2,1,0.6931471805599453
ngon,10,1,2.302585092994046
và,299,1,5.700443573390687
dễ,18,1,2.8903717578961645
làm,88,1,4.477336814478207
thương,29,1,3.367295829986474
được,168,1,5.123963979403259
dùng,40,1,3.6888794541139363
với,204,1,5.318119993844216
cơm,1,1,0.0
trong,115,1,4.74493212836325
các,103,1,4.634728988229636
bữa,13,1,2.5649493574615367
hằng,1,1,0.0
ngày,34,1,3.5263605246161616
rất,77,1,4.343805421853684
phù,9,1,2.1972245773362196
hợp,29,1,3.367295829986474
những,180,1,5.19295685089021
nắng,2,1,0.6931471805599453
nóng,10,1,2.302585092994046
g,5,1,1.6094379124341003
thịt,11,1,2.3978952727983707
nên,75,1,4.31748811353631
mua,14,1,2.6390573296152584
loại,42,1,3.7376696182833684
đã,106,1,4.663439094112067
sơ,9,1,2.1972245773362196
chế,10,1,2.302585092994046
sẵn,6,1,1.791759469228055
có,339,1,5.82600010738045
bán,10,1,2.302585092994046
nhiều,78,1,4.356708826689592
ở,70,1,4.248495242049359
hàng,37,1,3.6109179126442243
hải,2,1,0.6931471805599453
sản,18,1,2.8903717578961645
hai,47,1,3.8501476017100584
quả,15,1,2.70805020110221
chua,3,1,1.0986122886681098
rửa,10,1,2.302585092994046
sạch,7,1,1.9459101490553132
cắt,7,1,1.9459101490553132
bỏ,11,1,2.3978952727983707
cạnh,10,1,2.302585092994046
thái,15,1,2.70805020110221
lát,6,1,1.791759469228055
mỏng,4,1,1.3862943611198906
ớt,3,1,1.0986122886681098
sừng,4,1,1.3862943611198906
sợi,7,1,1.9459101490553132
thìa,1,1,0.0
giấm,2,1,0.6931471805599453
hành,15,1,2.70805020110221
lá,13,1,2.5649493574615367
rau,3,1,1.0986122886681098
răm,1,1,0.0
nhỏ,20,1,2.995732273553991
nước,31,1,3.4339872044851463
mắm,7,1,1.9459101490553132
hạt,2,1,0.6931471805599453
nêm,2,1,0.6931471805599453
tiêu,6,1,1.791759469228055
đường,17,1,2.833213344056216
tỏi,2,1,0.6931471805599453
băm,1,1,0.0
cách,35,1,3.5553480614894135
cho,169,1,5.1298987149230735
vào,37,1,3.6109179126442243
rổ,1,1,0.0
ngâm,1,1,0.0
chậu,2,1,0.6931471805599453
pha,8,1,2.0794415416798357
tay,27,1,3.295836866004329
chà,1,1,0.0
nhớt,1,1,0.0
cát,2,1,0.6931471805599453
lại,66,1,4.189654742026425
bằng,29,1,3.367295829986474
lạnh,10,1,2.302585092994046
để,114,1,4.736198448394496
ráo,1,1,0.0
đun,4,1,1.3862943611198906
dầu,14,1,2.6390573296152584
phi,2,1,0.6931471805599453
thơm,13,1,2.5649493574615367
xào,4,1,1.3862943611198906
nhanh,7,1,1.9459101490553132
múc,3,1,1.0986122886681098
ra,55,1,4.007333185232471
bát,3,1,1.0986122886681098
thêm,17,1,2.833213344056216
chút,17,1,2.833213344056216
nồi,4,1,1.3862943611198906
sôi,2,1,0.6931471805599453
cuối,8,1,2.0794415416798357
cùng,41,1,3.713572066704308
thì,87,1,4.465908118654584
tô,4,1,1.3862943611198906
anh,502,1,6.218600119691729
thành,78,1,4.356708826689592
đừng,31,1,3.4339872044851463
tỏ,21,1,3.044522437723423
yếu,14,1,2.6390573296152584
đuối,10,1,2.302585092994046
trước,29,1,3.367295829986474
người,247,1,5.5093883366279774
yêu,230,1,5.438079308923196
con,71,1,4.2626798770413155
gái,67,1,4.204692619390966
xinh,6,1,1.791759469228055
đẹp,27,1,3.295836866004329
đảm,11,1,2.3978952727983707
đang,28,1,3.332204510175204
luôn,28,1,3.332204510175204
muốn,49,1,3.8918202981106265
đàn,16,1,2.772588722239781
ông,18,1,2.8903717578961645
mạnh,10,1,2.302585092994046
mẽ,7,1,1.9459101490553132
quyết,23,1,3.1354942159291497
đoán,7,1,1.9459101490553132
hơi,11,1,2.3978952727983707
lùng,2,1,0.6931471805599453
đôi,17,1,2.833213344056216
khi,117,1,4.762173934797756
cầnkìm,1,1,0.0
nén,2,1,0.6931471805599453
cảm,110,1,4.700480365792417
xúc,13,1,2.5649493574615367
không,318,1,5.762051382780177
ta,40,1,3.6888794541139363
biết,63,1,4.143134726391533
rằng,65,1,4.174387269895637
mình,138,1,4.927253685157205
sàng,4,1,1.3862943611198906
hy,12,1,2.4849066497880004
sinh,22,1,3.091042453358316
vì,71,1,4.2626798770413155
dù,22,1,3.091042453358316
cô,140,1,4.941642422609304
ấy,152,1,5.0238805208462765
đến,71,1,4.2626798770413155
chừng,3,1,1.0986122886681098
nào,50,1,3.912023005428146
đi,49,1,3.8918202981106265
nữa,39,1,3.6635616461296463
cũng,141,1,4.948759890378168
dần,4,1,1.3862943611198906
hiểu,43,1,3.7612001156935624
vội,7,1,1.9459101490553132
vàng,12,1,2.4849066497880004
thể,143,1,4.962844630259907
hiện,49,1,3.8918202981106265
ngay,14,1,2.6390573296152584
from,21,1,3.044522437723423
ngoctraito,1,1,0.0
tamsu,21,1,3.044522437723423
vnexpress,24,1,3.1780538303479458
net,19,1,2.9444389791664403
sent,18,1,2.8903717578961645
friday,5,1,1.6094379124341003
may,22,1,3.091042453358316
am,12,1,2.4849066497880004
subject,19,1,2.9444389791664403
chia,32,1,3.4657359027997265
se,4,1,1.3862943611198906
cung,4,1,1.3862943611198906
n,2,1,0.6931471805599453
t,2,1,0.6931471805599453
thanh,10,1,2.302585092994046
thân,40,1,3.6888794541139363
mến,19,1,2.9444389791664403
tôi,415,1,6.028278520230698
nhưng,77,1,4.343805421853684
tâm,43,1,3.7612001156935624
trạng,11,1,2.3978952727983707
của,253,1,5.53338948872752
lúc,25,1,3.2188758248682006
này,50,1,3.912023005428146
xưa,5,1,1.6094379124341003
giống,14,1,2.6390573296152584
như,145,1,4.976733742420574
bây,6,1,1.791759469228055
giờ,37,1,3.6109179126442243
còn,71,1,4.2626798770413155
học,50,1,3.912023005428146
thức,18,1,2.8903717578961645
kiêu,1,1,0.0
theo,41,1,3.713572066704308
lời,39,1,3.6635616461296463
nhận,36,1,3.58351893845611
xét,2,1,0.6931471805599453
mọi,22,1,3.091042453358316
đặc,12,1,2.4849066497880004
biệt,12,1,2.4849066497880004
thích,21,1,3.044522437723423
cắm,3,1,1.0986122886681098
hoa,20,1,2.995732273553991
đầu,29,1,3.367295829986474
tiên,6,1,1.791759469228055
quá,32,1,3.4657359027997265
mềm,7,1,1.9459101490553132
nghĩ,66,1,4.189654742026425
nếu,49,1,3.8918202981106265
hơn,66,1,4.189654742026425
phải,89,1,4.48863636973214
hay,59,1,4.07753744390572
thấy,56,1,4.02535169073515
chán,9,1,2.1972245773362196
nản,5,1,1.6094379124341003
sự,99,1,4.59511985013459
diện,10,1,2.302585092994046
khen,4,1,1.3862943611198906
khác,46,1,3.828641396489095
mặt,29,1,3.367295829986474
so,21,1,3.044522437723423
bì,1,1,0.0
buồn,15,1,2.70805020110221
khổ,25,1,3.2188758248682006
điều,58,1,4.060443010546419
chứ,6,1,1.791759469228055
bên,24,1,3.1780538303479458
an,3,1,1.0986122886681098
ủi,2,1,0.6931471805599453
tình,135,1,4.90527477843843
thật,51,1,3.9318256327243257
lắm,17,1,2.833213344056216
mỗi,14,1,2.6390573296152584
gặp,15,1,2.70805020110221
âu,5,1,1.6094379124341003
yếm,3,1,1.0986122886681098
nhẹ,11,1,2.3978952727983707
nhàng,5,1,1.6094379124341003
sợ,10,1,2.302585092994046
mất,14,1,2.6390573296152584
cứ,13,1,2.5649493574615367
vậy,43,1,3.7612001156935624
thời,35,1,3.5553480614894135
gian,35,1,3.5553480614894135
nói,69,1,4.23410650459726
lòng,31,1,3.4339872044851463
vẫn,31,1,3.4339872044851463
chính,22,1,3.091042453358316
thiếu,10,1,2.302585092994046
giảm,2,1,0.6931471805599453
đối,16,1,2.772588722239781
cần,56,1,4.02535169073515
kìm,1,1,0.0
bao,34,1,3.5263605246161616
kể,14,1,2.6390573296152584
nghe,12,1,2.4849066497880004
tiếp,11,1,2.3978952727983707
câu,8,1,2.0794415416798357
chuyện,41,1,3.713572066704308
sau,35,1,3.5553480614894135
nhìn,15,1,2.70805020110221
ánh,8,1,2.0794415416798357
mắt,5,1,1.6094379124341003
đầy,5,1,1.6094379124341003
rồi,32,1,3.4657359027997265
cả,63,1,4.143134726391533
tuần,8,1,2.0794415416798357
liền,2,1,0.6931471805599453
liên,10,1,2.302585092994046
lạc,6,1,1.791759469228055
bắt,9,1,2.1972245773362196
nhớ,10,1,2.302585092994046
sống,39,1,3.6635616461296463
bình,14,1,2.6390573296152584
dị,2,1,0.6931471805599453
tốt,26,1,3.258096538021482
quý,6,1,1.791759469228055
công,21,1,3.044522437723423
việc,43,1,3.7612001156935624
vô,10,1,2.302585092994046
tìm,30,1,3.4011973816621555
càng,16,1,2.772588722239781
buổi,5,1,1.6094379124341003
chiều,9,1,2.1972245773362196
em,60,1,4.0943445622221
chỉ,58,1,4.060443010546419
thôi,17,1,2.833213344056216
từ,41,1,3.713572066704308
đó,98,1,4.584967478670572
nay,17,1,2.833213344056216
chúng,41,1,3.713572066704308
hạnh,33,1,3.4965075614664802
phúc,33,1,3.4965075614664802
nhau,79,1,4.3694478524670215
góp,3,1,1.0986122886681098
ý,32,1,3.4657359027997265
gì,45,1,3.8066624897703196
chưa,16,1,2.772588722239781
đúng,16,1,2.772588722239781
nêu,1,1,0.0
quan,40,1,3.6888794541139363
điểm,22,1,3.091042453358316
giúp,13,1,2.5649493574615367
tin,36,1,3.58351893845611
sẽ,80,1,4.382026634673881
phương,7,1,1.9459101490553132
hướng,6,1,1.791759469228055
bản,17,1,2.833213344056216
đoan,1,1,0.0
trang,22,1,3.091042453358316
đâu,17,1,2.833213344056216
tĩnh,4,1,1.3862943611198906
từng,18,1,2.8903717578961645
bước,5,1,1.6094379124341003
hãy,42,1,3.7376696182833684
bã,1,1,0.0
đau,27,1,3.295836866004329
ạ,5,1,1.6094379124341003
chúc,10,1,2.302585092994046
sớm,10,1,2.302585092994046
niềm,8,1,2.0794415416798357
vui,8,1,2.0794415416798357
vọng,10,1,2.302585092994046
chị,6,1,1.791759469228055
thần,6,1,1.791759469228055
tượng,13,1,2.5649493574615367
hóa,8,1,2.0794415416798357
bạn,182,1,5.204006687076795
chờ,6,1,1.791759469228055
đợi,7,1,1.9459101490553132
phản,12,1,2.4849066497880004
ứng,10,1,2.302585092994046
kiềm,2,1,0.6931471805599453
thẳng,12,1,2.4849066497880004
thắn,7,1,1.9459101490553132
nhạy,8,1,2.0794415416798357
đánh,13,1,2.5649493574615367
giá,36,1,3.58351893845611
xem,17,1,2.833213344056216
thế,55,1,4.007333185232471
thoải,6,1,1.791759469228055
mái,6,1,1.791759469228055
về,53,1,3.970291913552122
đề,14,1,2.6390573296152584
tài,3,1,1.0986122886681098
khó,16,1,2.772588722239781
chịu,12,1,2.4849066497880004
to,18,1,2.8903717578961645
saturday,1,1,0.0
tim,7,1,1.9459101490553132
hieu,1,1,0.0
vi,4,1,1.3862943611198906
sao,32,1,3.4657359027997265
co,10,1,2.302585092994046
ay,2,1,0.6931471805599453
khong,2,1,0.6931471805599453
thich,1,1,0.0
cach,1,1,0.0
the,1,1,0.0
hien,1,1,0.0
tinh,3,1,1.0986122886681098
cam,9,1,2.1972245773362196
cua,7,1,1.9459101490553132
phần,14,1,2.6390573296152584
độ,21,1,3.044522437723423
do,18,1,2.8903717578961645
lý,19,1,2.9444389791664403
chẳng,12,1,2.4849066497880004
hạn,6,1,1.791759469228055
lo,4,1,1.3862943611198906
lắng,4,1,1.3862943611198906
nơi,16,1,2.772588722239781
đông,4,1,1.3862943611198906
văn,9,1,2.1972245773362196
tây,4,1,1.3862943611198906
mà,101,1,4.61512051684126
lứa,2,1,0.6931471805599453
cộng,3,1,1.0986122886681098
đáng,7,1,1.9459101490553132
chê,1,1,0.0
cười,2,1,0.6931471805599453
việt,12,1,2.4849066497880004
nam,14,1,2.6390573296152584
số,14,1,2.6390573296152584
châu,5,1,1.6094379124341003
á,2,1,0.6931471805599453
coi,5,1,1.6094379124341003
động,23,1,3.1354942159291497
tế,10,1,2.302585092994046
nhị,3,1,1.0986122886681098
niệm,4,1,1.3862943611198906
cấm,1,1,0.0
kỵ,1,1,0.0
đồng,49,1,3.8918202981106265
nghiệp,7,1,1.9459101490553132
trung,11,1,2.3978952727983707
nhật,6,1,1.791759469228055
ức,1,1,0.0
vật,11,1,2.3978952727983707
hoàn,21,1,3.044522437723423
toàn,9,1,2.1972245773362196
giấu,3,1,1.0986122886681098
kín,2,1,0.6931471805599453
quay,2,1,0.6931471805599453
sở,1,1,0.0
tác,4,1,1.3862943611198906
lớn,15,1,2.70805020110221
tới,12,1,2.4849066497880004
dịp,1,1,0.0
dành,18,1,2.8903717578961645
hẳn,4,1,1.3862943611198906
tặng,8,1,2.0794415416798357
