lexical_item,frequency,syllable_length,log_frequency
có,1639,1,7.40184157874383
anh,1604,1,7.38025578842646
không,1506,1,7.317212408359839
tôi,1410,1,7.251344983372214
và,1278,1,7.15305163493748
là,1155,1,7.051855622955894
người,1112,1,7.013915474810528
của,1110,1,7.01211529430638
với,860,1,6.756932389247553
một,851,1,6.7464121285733745
bạn,830,1,6.721425700790643
cho,800,1,6.684611727667927
yêu,744,1,6.612041034833092
được,727,1,6.588926477533519
những,660,1,6.492239835020471
ấy,639,1,6.459904454377535
như,622,1,6.432940092739179
để,620,1,6.429719478039138
mình,606,1,6.406879986069314
khi,589,1,6.3784261836515865
cũng,571,1,6.3473892096560105
trong,555,1,6.318968113746434
thể,541,1,6.293419278846481
cô,539,1,6.289715570908998
tình,521,1,6.255750041753367
làm,488,1,6.1903154058531475
phải,473,1,6.159095388491933
thì,469,1,6.150602768446279
đã,460,1,6.131226489483141
đó,439,1,6.0844994130751715
chị,426,1,6.054439346269371
nhưng,425,1,6.052089168924417
sẽ,423,1,6.0473721790462776
các,416,1,6.030685260261263
mà,416,1,6.030685260261263
sự,405,1,6.003887067106539
lại,401,1,5.993961427306569
nhiều,398,1,5.986452005284438
nên,395,1,5.978885764901122
cảm,385,1,5.953243334287785
đến,379,1,5.937536205082426
rất,374,1,5.924255797414532
này,366,1,5.902633333401366
em,356,1,5.87493073085203
còn,348,1,5.8522024797744745
vì,346,1,5.846438775057725
ta,331,1,5.802118375377063
hơn,331,1,5.802118375377063
nhau,323,1,5.777652323222656
ra,315,1,5.752572638825633
ở,306,1,5.723585101952381
nói,306,1,5.723585101952381
nếu,305,1,5.720311776607412
vào,293,1,5.680172609017068
loại,290,1,5.66988092298052
đi,283,1,5.645446897643238
chỉ,283,1,5.645446897643238
biết,272,1,5.605802066295998
con,265,1,5.579729825986222
nghĩ,264,1,5.575949103146316
hay,264,1,5.575949103146316
gia,264,1,5.575949103146316
vợ,264,1,5.575949103146316
cả,258,1,5.552959584921617
thành,255,1,5.541263545158426
hãy,250,1,5.521460917862246
sau,249,1,5.517452896464707
điều,248,1,5.5134287461649825
chuyện,247,1,5.5093883366279774
thật,246,1,5.5053315359323625
về,239,1,5.476463551931511
thấy,236,1,5.4638318050256105
chồng,236,1,5.4638318050256105
sống,233,1,5.4510384535657
việc,232,1,5.44673737166631
gì,228,1,5.429345628954441
thế,226,1,5.420534999272286
học,223,1,5.407171771460119
từ,217,1,5.37989735354046
đình,212,1,5.356586274672012
ông,210,1,5.3471075307174685
theo,208,1,5.337538079701318
hai,207,1,5.332718793265369
muốn,205,1,5.3230099791384085
rằng,203,1,5.313205979041787
quan,203,1,5.313205979041787
thời,198,1,5.288267030694535
cần,197,1,5.2832037287379885
mai,197,1,5.2832037287379885
nào,196,1,5.278114659230517
nước,195,1,5.272999558563747
cách,193,1,5.262690188904886
tâm,193,1,5.262690188904886
khác,191,1,5.25227342804663
đàn,186,1,5.225746673713202
gian,186,1,5.225746673713202
thường,186,1,5.225746673713202
vậy,184,1,5.214935757608986
ăn,180,1,5.19295685089021
dùng,178,1,5.181783550292085
gái,178,1,5.181783550292085
ý,177,1,5.176149732573829
họ,176,1,5.170483995038151
quá,173,1,5.153291594497779
chúng,170,1,5.135798437050262
chọn,169,1,5.1298987149230735
đồng,168,1,5.123963979403259
qua,168,1,5.123963979403259
dụng,167,1,5.117993812416755
trên,167,1,5.117993812416755
giờ,164,1,5.099866427824199
thực,164,1,5.099866427824199
phúc,162,1,5.087596335232384
bằng,161,1,5.081404364984463
hiện,161,1,5.081404364984463
mẹ,161,1,5.081404364984463
hạnh,160,1,5.075173815233827
cùng,159,1,5.0689042022202315
lên,157,1,5.056245805348308
hợp,156,1,5.049856007249537
vẫn,155,1,5.043425116919247
tay,154,1,5.0369526024136295
công,154,1,5.0369526024136295
nhất,152,1,5.0238805208462765
cuộc,152,1,5.0238805208462765
màu,152,1,5.0238805208462765
nhận,151,1,5.017279836814924
tự,149,1,5.003946305945459
cái,148,1,4.997212273764115
định,147,1,4.990432586778736
nữa,146,1,4.983606621708336
thân,146,1,4.983606621708336
bên,146,1,4.983606621708336
nhà,143,1,4.962844630259907
lòng,142,1,4.955827057601261
bị,142,1,4.955827057601261
rồi,141,1,4.948759890378168
đầu,139,1,4.9344739331306915
tốt,138,1,4.927253685157205
thích,137,1,4.919980925828125
động,135,1,4.90527477843843
mới,135,1,4.90527477843843
lúc,134,1,4.897839799950911
giá,134,1,4.897839799950911
độ,134,1,4.897839799950911
đang,133,1,4.890349128221754
vị,133,1,4.890349128221754
hàng,132,1,4.882801922586371
lời,132,1,4.882801922586371
thương,131,1,4.875197323201151
hoặc,131,1,4.875197323201151
ngày,130,1,4.867534450455582
luôn,130,1,4.867534450455582
đừng,129,1,4.859812404361672
tin,128,1,4.852030263919617
hiểu,126,1,4.836281906951478
trước,125,1,4.8283137373023015
tìm,124,1,4.820281565605037
trẻ,124,1,4.820281565605037
bao,123,1,4.812184355372417
trọng,120,1,4.787491742782046
quyết,119,1,4.77912349311153
đau,119,1,4.77912349311153
lấy,119,1,4.77912349311153
ai,117,1,4.762173934797756
chia,116,1,4.7535901911063645
khó,116,1,4.7535901911063645
hoàn,114,1,4.736198448394496
năm,112,1,4.718498871295094
món,111,1,4.709530201312334
nhỏ,111,1,4.709530201312334
do,111,1,4.709530201312334
máy,111,1,4.709530201312334
ngoài,111,1,4.709530201312334
điểm,109,1,4.6913478822291435
mọi,107,1,4.672828834461906
tính,107,1,4.672828834461906
hết,107,1,4.672828834461906
nàng,106,1,4.663439094112067
vấn,106,1,4.663439094112067
đều,105,1,4.653960350157523
dù,104,1,4.6443908991413725
khổ,104,1,4.6443908991413725
suy,103,1,4.634728988229636
đường,102,1,4.624972813284271
sinh,100,1,4.605170185988092
bình,100,1,4.605170185988092
đây,99,1,4.59511985013459
cao,99,1,4.59511985013459
phẩm,99,1,4.59511985013459
điện,99,1,4.59511985013459
mua,98,1,4.584967478670572
đẹp,98,1,4.584967478670572
đề,98,1,4.584967478670572
bánh,98,1,4.584967478670572
dễ,97,1,4.574710978503383
sản,97,1,4.574710978503383
phụ,97,1,4.574710978503383
hoa,96,1,4.564348191467836
chính,95,1,4.553876891600541
hình,95,1,4.553876891600541
vừa,95,1,4.553876891600541
trường,95,1,4.553876891600541
cảnh,95,1,4.553876891600541
chưa,94,1,4.543294782270004
thêm,93,1,4.532599493153256
mặt,92,1,4.5217885770490405
sao,92,1,4.5217885770490405
chơi,92,1,4.5217885770490405
đối,91,1,4.51085950651685
lần,91,1,4.51085950651685
càng,90,1,4.499809670330265
đâu,90,1,4.499809670330265
giúp,89,1,4.48863636973214
liệu,89,1,4.48863636973214
khoảng,89,1,4.48863636973214
chất,89,1,4.48863636973214
thứ,88,1,4.477336814478207
sử,88,1,4.477336814478207
tuổi,87,1,4.465908118654584
chịu,86,1,4.454347296253507
phần,86,1,4.454347296253507
lý,86,1,4.454347296253507
trung,86,1,4.454347296253507
thông,86,1,4.454347296253507
tất,86,1,4.454347296253507
tạo,86,1,4.454347296253507
mong,86,1,4.454347296253507
quả,85,1,4.442651256490317
nguyên,85,1,4.442651256490317
kết,85,1,4.442651256490317
đồ,85,1,4.442651256490317
trai,84,1,4.430816798843313
bảo,84,1,4.430816798843313
cố,84,1,4.430816798843313
đời,84,1,4.430816798843313
số,83,1,4.418840607796598
tại,83,1,4.418840607796598
lớn,81,1,4.394449154672439
nữ,81,1,4.394449154672439
buồn,80,1,4.382026634673881
tiếp,80,1,4.382026634673881
gặp,79,1,4.3694478524670215
tương,79,1,4.3694478524670215
ba,79,1,4.3694478524670215
bộ,79,1,4.3694478524670215
bỏ,78,1,4.356708826689592
bản,78,1,4.356708826689592
nhân,78,1,4.356708826689592
cá,78,1,4.356708826689592
nấu,77,1,4.343805421853684
hệ,77,1,4.343805421853684
nhiên,77,1,4.343805421853684
thiết,77,1,4.343805421853684
giống,75,1,4.31748811353631
nó,75,1,4.31748811353631
toàn,74,1,4.30406509320417
trái,74,1,4.30406509320417
thôi,73,1,4.290459441148391
khăn,73,1,4.290459441148391
nay,72,1,4.276666119016055
từng,72,1,4.276666119016055
hôn,72,1,4.276666119016055
thức,71,1,4.2626798770413155
giữ,71,1,4.2626798770413155
dành,70,1,4.248495242049359
hà,70,1,4.248495242049359
mất,69,1,4.23410650459726
cứ,69,1,4.23410650459726
trang,69,1,4.23410650459726
ít,69,1,4.23410650459726
so,68,1,4.219507705176107
đúng,68,1,4.219507705176107
chẳng,68,1,4.219507705176107
chắc,68,1,4.219507705176107
hương,68,1,4.219507705176107
rượu,68,1,4.219507705176107
cây,67,1,4.204692619390966
ngay,66,1,4.189654742026425
trí,66,1,4.189654742026425
xa,66,1,4.189654742026425
vui,65,1,4.174387269895637
