lexical_item,frequency,syllable_length,log_frequency
nghêu nấu,1,2,0.0
nấu khế,1,2,0.0
khế đây,1,2,0.0
món ăn,39,2,3.6635616461296463
ăn dân,3,2,1.0986122886681098
dân dã,7,2,1.9459101490553132
dã ngon,1,2,0.0
dễ làm,3,2,1.0986122886681098
làm thương,1,2,0.0
bữa ăn,4,2,1.3862943611198906
ăn hằng,1,2,0.0
hằng ngày,6,2,1.791759469228055
ngày rất,2,2,0.6931471805599453
rất phù,2,2,0.6931471805599453
phù hợp,29,2,3.367295829986474
ngày nắng,1,2,0.0
nắng nóng,2,2,0.6931471805599453
nóng g,1,2,0.0
g thịt,3,2,1.0986122886681098
thịt nghêu,1,2,0.0
nghêu nên,1,2,0.0
nên mua,7,2,1.9459101490553132
mua loại,8,2,2.0794415416798357
sơ chế,4,2,1.3862943611198906
chế sẵn,3,2,1.0986122886681098
bán rất,2,2,0.6931471805599453
rất nhiều,53,2,3.970291913552122
nhiều ở,3,2,1.0986122886681098
ở hàng,1,2,0.0
hàng hải,1,2,0.0
hải sản,1,2,0.0
sản hai,1,2,0.0
hai quả,1,2,0.0
quả khế,1,2,0.0
khế chua,1,2,0.0
chua rửa,1,2,0.0
rửa sạch,12,2,2.4849066497880004
sạch cắt,2,2,0.6931471805599453
cắt bỏ,1,2,0.0
bỏ cạnh,1,2,0.0
cạnh thái,1,2,0.0
thái lát,2,2,0.6931471805599453
lát mỏng,4,2,1.3862943611198906
quả ớt,1,2,0.0
ớt sừng,4,2,1.3862943611198906
sừng thái,1,2,0.0
thái sợi,2,2,0.6931471805599453
sợi hai,1,2,0.0
hai thìa,1,2,0.0
thìa giấm,1,2,0.0
giấm hành,1,2,0.0
hành lá,4,2,1.3862943611198906
lá rau,3,2,1.0986122886681098
rau răm,1,2,0.0
răm rửa,1,2,0.0
sạch thái,1,2,0.0
thái nhỏ,4,2,1.3862943611198906
nhỏ nước,3,2,1.0986122886681098
nước mắm,12,2,2.4849066497880004
mắm hạt,1,2,0.0
hạt nêm,4,2,1.3862943611198906
nêm tiêu,1,2,0.0
tiêu đường,1,2,0.0
đường tỏi,2,2,0.6931471805599453
tỏi băm,2,2,0.6931471805599453
băm cách,1,2,0.0
cách làm,7,2,1.9459101490553132
nghêu vào,2,2,0.6931471805599453
vào rổ,1,2,0.0
rổ ngâm,1,2,0.0
ngâm vào,3,2,1.0986122886681098
vào chậu,1,2,0.0
chậu nước,1,2,0.0
pha giấm,1,2,0.0
giấm dùng,1,2,0.0
dùng tay,4,2,1.3862943611198906
tay chà,1,2,0.0
chà sạch,1,2,0.0
sạch nhớt,1,2,0.0
cát rửa,1,2,0.0
rửa lại,2,2,0.6931471805599453
lại bằng,2,2,0.6931471805599453
bằng nước,2,2,0.6931471805599453
nước lạnh,3,2,1.0986122886681098
lạnh để,3,2,1.0986122886681098
để ráo,3,2,1.0986122886681098
ráo đun,1,2,0.0
đun nóng,2,2,0.6931471805599453
nóng dầu,1,2,0.0
