lexical_item,frequency,log_frequency,syllable_length,source_file,keep_status,filter_reason,warning_flag
nhau,1522,7.327780538421631,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
quan,1064,6.96979066990159,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
gian,924,6.828712071641684,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
trai,709,6.563855526532128,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chia,656,6.486160788944089,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
sinh,524,6.261491684321042,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
trang,475,6.163314804034641,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chung,447,6.102558594613569,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
trung,444,6.095824562432225,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
mang,397,5.983936280687191,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
mong,392,5.971261839790462,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
thay,357,5.877735781779639,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
ngon,349,5.855071922202427,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
nghe,323,5.777652323222656,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
xanh,311,5.739792912179234,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
quen,309,5.733341276897746,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
minh,269,5.594711379601839,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
tinh,257,5.54907608489522,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chua,246,5.5053315359323625,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
canh,220,5.393627546352362,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
kinh,217,5.37989735354046,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
tranh,200,5.298317366548036,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
thanh,199,5.293304824724492,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
quanh,191,5.25227342804663,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
phong,188,5.236441962829949,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
quay,176,5.170483995038151,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
sang,149,5.003946305945459,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
xung,130,4.867534450455582,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
nghi,129,4.859812404361672,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
nhanh,123,4.812184355372417,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
song,122,4.804021044733257,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
xong,120,4.787491742782046,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
tham,117,4.762173934797756,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
rang,116,4.7535901911063645,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
dung,114,4.736198448394496,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
giao,95,4.553876891600541,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
danh,95,4.553876891600541,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
thang,94,4.543294782270004,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
ghen,94,4.543294782270004,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
khung,90,4.499809670330265,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
than,89,4.48863636973214,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
linh,88,4.477336814478207,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
trao,87,4.465908118654584,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
chanh,82,4.406719247264253,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
contactus,78,4.356708826689592,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
xinh,77,4.343805421853684,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
treo,74,4.30406509320417,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
khen,73,4.290459441148391,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
document,72,4.276666119016055,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
khai,71,4.262679877041316,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
mail,70,4.248495242049359,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
phan,69,4.23410650459726,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
cung,63,4.143134726391533,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
doanh,59,4.07753744390572,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
ngang,59,4.07753744390572,1,unigrams_frequency.csv,keep,kept_after_rule_filter,possible_named_entity_or_foreign
