muc_tu,tan_so,log_tan_so,so_am_tiet,do_tin_cay,ly_do,ghi_chu
nước,1464,7.288927695,1,,,
nhà,1208,7.096721378,1,,,
giá,714,6.570882962,1,,,
hàng,700,6.551080335,1,,,
tin,679,6.520621128,1,,,
đường,598,6.393590754,1,,,
hoa,572,6.349138991,1,,,
lá,443,6.09356977,1,,,
bàn,333,5.80814249,1,,,
mắt,317,5.758901774,1,,,
tiền,317,5.758901774,1,,,
đèn,306,5.723585102,1,,,
cây,281,5.638354669,1,,,
cửa,258,5.552959585,1,,,
vật,252,5.529429088,1,,,
xe,217,5.379897354,1,,,
lực,199,5.293304825,1,,,
áo,184,5.214935758,1,,,
vải,178,5.18178355,1,,,
dân,155,5.043425117,1,,,
đá,140,4.941642423,1,,,
đất,138,4.927253685,1,,,
ghế,133,4.890349128,1,,,
gió,118,4.770684624,1,,,
chợ,108,4.682131227,1,,,
sách,97,4.574710979,1,,,
trị,91,4.510859507,1,,,
luật,74,4.304065093,1,,,
biển,64,4.158883083,1,,,
sông,60,4.094344562,1,,,
thuốc,57,4.043051268,1,,,
mũ,47,3.850147602,1,,,
bút,41,3.713572067,1,,,
núi,31,3.433987204,1,,,
rừng,31,3.433987204,1,,,
cỏ,26,3.258096538,1,,,
cốc,19,2.944438979,1,,,
cơ hội,164,5.099866428,2,,,
trường hợp,141,4.94875989,2,,,
công ty,135,4.905274778,2,,,
nhà hàng,131,4.875197323,2,,,
thị trường,128,4.852030264,2,,,
tự tin,78,4.356708827,2,,,
cửa hàng,61,4.110873864,2,,,
học tập,51,3.931825633,2,,,
truyền thống,46,3.828641396,2,,,
đồng nghiệp,45,3.80666249,2,,,
khách hàng,38,3.63758616,2,,,
hệ thống,37,3.610917913,2,,,
kinh tế,36,3.583518938,2,,,
mặt hàng,34,3.526360525,2,,,
nước nóng,32,3.465735903,2,,,
nghệ thuật,30,3.401197382,2,,,
tốt nghiệp,29,3.36729583,2,,,
nước dừa,28,3.33220451,2,,,
văn hóa,28,3.33220451,2,,,
công nghiệp,27,3.295836866,2,,,
luật pháp,26,3.258096538,2,,,
học thức,24,3.17805383,2,,,
giáo dục,23,3.135494216,2,,,
lao động,21,3.044522438,2,,,
khoa học,20,2.995732274,2,,,
nhà cửa,20,2.995732274,2,,,
giá rẻ,19,2.944438979,2,,,
phương pháp,19,2.944438979,2,,,
máy xay,18,2.890371758,2,,,
đáng tin,18,2.890371758,2,,,
nước đường,17,2.833213344,2,,,
giá thành,16,2.772588722,2,,,
mức giá,16,2.772588722,2,,,
pháp luật,16,2.772588722,2,,,
chén nước,14,2.63905733,2,,,
mái nhà,14,2.63905733,2,,,
xe đẩy,14,2.63905733,2,,,
bệnh viện,13,2.564949357,2,,,
biện pháp,12,2.48490665,2,,,
cây cảnh,12,2.48490665,2,,,
cây xanh,12,2.48490665,2,,,
giá vé,12,2.48490665,2,,,
nước xốt,12,2.48490665,2,,,
tinh tế,12,2.48490665,2,,,
đất nước,12,2.48490665,2,,,
hơi nước,11,2.397895273,2,,,
máy lạnh,11,2.397895273,2,,,
nước muối,11,2.397895273,2,,,
trị giá,10,2.302585093,2,,,
nhà sản xuất,42,3.737669618,3,,,
nước vo gạo,28,3.33220451,3,,,
máy nghe nhạc,18,2.890371758,3,,,
nước cốt dừa,18,2.890371758,3,,,
loại thực phẩm,13,2.564949357,3,,,
máy hút bụi,13,2.564949357,3,,,
máy vi tính,13,2.564949357,3,,,
trình độ học,12,2.48490665,3,,,
dòng sản phẩm,10,2.302585093,3,,,
loại sản phẩm,10,2.302585093,3,,,
