lexical_item,frequency,log_frequency,syllable_length,source_file,keep_status,filter_reason,warning_flag,keep,confidence,reason,notes
nước,1464,7.288927695,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
nhà,1208,7.096721378,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
cá,925,6.829793738,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
học,778,6.656726524,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
hợp,765,6.639875834,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
tay,755,6.626717749,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
giá,714,6.570882962,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
hàng,700,6.551080335,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
tin,679,6.520621128,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
máy,598,6.393590754,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
đường,598,6.393590754,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
hoa,572,6.349138991,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
đời,545,6.300785794663244,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
sản,467,6.1463292576688975,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
trường,452,6.11368218,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
lá,443,6.09356977,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
phẩm,406,6.00635316,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
liệu,352,5.863631176,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
cầu,351,5.860786223,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
bàn,333,5.80814249,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
mắt,317,5.758901774,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
tiền,317,5.758901774,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
hội,306,5.723585102,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
đèn,306,5.723585102,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
cây,281,5.638354669,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
cửa,258,5.552959585,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
vật,252,5.529429088,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
lớp,240,5.480638923,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
tế,224,5.411646052,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
xe,217,5.379897354,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
nghiệp,215,5.370638028,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
lực,199,5.293304825,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
áo,184,5.214935758,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
vải,178,5.18178355,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
dân,155,5.043425117,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
xã,150,5.010635294096256,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
đá,140,4.941642423,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
đất,138,4.927253685,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
ghế,133,4.890349128,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
gió,118,4.770684624,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
bệnh,111,4.709530201,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
chợ,108,4.682131227,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
nghệ,105,4.65396035,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
thống,104,4.644390899,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
sách,97,4.574710979,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
trị,91,4.510859507,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
quyền,84,4.430816799,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
báo,79,4.369447852,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
luật,74,4.304065093,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
biển,64,4.158883083,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
sông,60,4.094344562,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
môi,58,4.060443011,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
thuốc,57,4.043051268,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
dịch,52,3.951243719,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
mũ,47,3.850147602,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
bút,41,3.713572067,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
viện,39,3.663561646,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
án,32,3.465735903,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
núi,31,3.433987204,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
rừng,31,3.433987204,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
cỏ,26,3.258096538,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
ngân,23,3.135494216,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
cốc,19,2.944438979,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
ngành,11,2.3978952727983707,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
tuyến,10,2.302585092994046,1,unigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
cơ hội,164,5.099866428,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
trường hợp,141,4.94875989,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
công ty,135,4.905274778,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
nhà hàng,131,4.875197323,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
thị trường,128,4.852030264,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
tin tưởng,100,4.605170186,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
tự tin,78,4.356708827,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
cửa hàng,61,4.110873864,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
học tập,51,3.931825633,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
truyền thống,46,3.828641396,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
đồng nghiệp,45,3.80666249,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
du học,42,3.737669618,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
môi trường,42,3.737669618,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,,,,
khách hàng,38,3.63758616,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
hệ thống,37,3.610917913,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
kinh tế,36,3.583518938,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
mặt hàng,34,3.526360525,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
nước nóng,32,3.465735903,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
nghệ thuật,30,3.401197382,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
tốt nghiệp,29,3.36729583,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
nước dừa,28,3.33220451,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
văn hóa,28,3.33220451,2,bigrams_frequency.csv,keep,kept_after_rule_filter,,1.0,,,
