lexical_item,frequency,syllable_length,log_frequency
nghêu nấu khế,1,3,0.0
nấu khế đây,1,3,0.0
món ăn dân,3,3,1.0986122886681098
ăn dân dã,3,3,1.0986122886681098
dân dã ngon,1,3,0.0
dễ làm thương,1,3,0.0
bữa ăn hằng,1,3,0.0
ăn hằng ngày,1,3,0.0
hằng ngày rất,1,3,0.0
ngày rất phù,1,3,0.0
rất phù hợp,2,3,0.6931471805599453
ngày nắng nóng,1,3,0.0
nắng nóng g,1,3,0.0
nóng g thịt,1,3,0.0
g thịt nghêu,1,3,0.0
thịt nghêu nên,1,3,0.0
nghêu nên mua,1,3,0.0
nên mua loại,2,3,0.6931471805599453
sơ chế sẵn,3,3,1.0986122886681098
bán rất nhiều,1,3,0.0
rất nhiều ở,1,3,0.0
nhiều ở hàng,1,3,0.0
ở hàng hải,1,3,0.0
hàng hải sản,1,3,0.0
hải sản hai,1,3,0.0
sản hai quả,1,3,0.0
hai quả khế,1,3,0.0
quả khế chua,1,3,0.0
khế chua rửa,1,3,0.0
chua rửa sạch,1,3,0.0
rửa sạch cắt,2,3,0.6931471805599453
sạch cắt bỏ,1,3,0.0
cắt bỏ cạnh,1,3,0.0
bỏ cạnh thái,1,3,0.0
cạnh thái lát,1,3,0.0
thái lát mỏng,1,3,0.0
quả ớt sừng,1,3,0.0
ớt sừng thái,1,3,0.0
sừng thái sợi,1,3,0.0
thái sợi hai,1,3,0.0
sợi hai thìa,1,3,0.0
hai thìa giấm,1,3,0.0
thìa giấm hành,1,3,0.0
giấm hành lá,1,3,0.0
hành lá rau,1,3,0.0
lá rau răm,1,3,0.0
rau răm rửa,1,3,0.0
răm rửa sạch,1,3,0.0
rửa sạch thái,1,3,0.0
sạch thái nhỏ,1,3,0.0
thái nhỏ nước,1,3,0.0
nhỏ nước mắm,1,3,0.0
nước mắm hạt,1,3,0.0
mắm hạt nêm,1,3,0.0
hạt nêm tiêu,1,3,0.0
nêm tiêu đường,1,3,0.0
tiêu đường tỏi,1,3,0.0
đường tỏi băm,1,3,0.0
tỏi băm cách,1,3,0.0
băm cách làm,1,3,0.0
nghêu vào rổ,1,3,0.0
vào rổ ngâm,1,3,0.0
rổ ngâm vào,1,3,0.0
ngâm vào chậu,1,3,0.0
vào chậu nước,1,3,0.0
pha giấm dùng,1,3,0.0
giấm dùng tay,1,3,0.0
dùng tay chà,1,3,0.0
tay chà sạch,1,3,0.0
chà sạch nhớt,1,3,0.0
cát rửa lại,1,3,0.0
rửa lại bằng,1,3,0.0
lại bằng nước,1,3,0.0
bằng nước lạnh,1,3,0.0
nước lạnh để,1,3,0.0
lạnh để ráo,1,3,0.0
để ráo đun,1,3,0.0
ráo đun nóng,1,3,0.0
đun nóng dầu,1,3,0.0
nóng dầu phi,1,3,0.0
dầu phi thơm,1,3,0.0
phi thơm tỏi,1,3,0.0
nghêu vào xào,1,3,0.0
vào xào nhanh,1,3,0.0
xào nhanh tay,1,3,0.0
nhanh tay múc,1,3,0.0
tay múc ra,1,3,0.0
múc ra bát,1,3,0.0
thêm chút dầu,1,3,0.0
chút dầu vào,1,3,0.0
dầu vào nồi,1,3,0.0
vào nồi xào,1,3,0.0
nồi xào sơ,1,3,0.0
xào sơ khế,1,3,0.0
nước vào đun,1,3,0.0
vào đun sôi,2,3,0.6931471805599453
đun sôi cuối,1,3,0.0
sôi cuối cùng,1,3,0.0
nghêu ớt sừng,1,3,0.0
ớt sừng nước,1,3,0.0
sừng nước mắm,1,3,0.0
nước mắm đường,1,3,0.0
mắm đường hạt,1,3,0.0
đường hạt nêm,1,3,0.0
hạt nêm vào,1,3,0.0
nêm vào đun,1,3,0.0
đun sôi lại,1,3,0.0
sôi lại thì,1,3,0.0
lại thì múc,1,3,0.0
thì múc ra,1,3,0.0
múc ra tô,2,3,0.6931471805599453
thành đừng tỏ,5,3,1.6094379124341003
đừng tỏ ra,5,3,1.6094379124341003
tỏ ra yếu,5,3,1.6094379124341003
ra yếu đuối,5,3,1.6094379124341003
yếu đuối trước,7,3,1.9459101490553132
đuối trước người,5,3,1.6094379124341003
trước người yêu,6,3,1.791759469228055
người yêu người,2,3,0.6931471805599453
yêu người con,3,3,1.0986122886681098
người con gái,25,3,3.2188758248682006
con gái xinh,3,3,1.0986122886681098
gái xinh đẹp,4,3,1.3862943611198906
xinh đẹp đảm,2,3,0.6931471805599453
đẹp đảm đang,2,3,0.6931471805599453
đảm đang luôn,2,3,0.6931471805599453
đang luôn muốn,2,3,0.6931471805599453
người đàn ông,85,3,4.442651256490317
đàn ông mạnh,3,3,1.0986122886681098
ông mạnh mẽ,3,3,1.0986122886681098
mạnh mẽ quyết,2,3,0.6931471805599453
mẽ quyết đoán,2,3,0.6931471805599453
quyết đoán hơi,2,3,0.6931471805599453
đoán hơi lạnh,2,3,0.6931471805599453
hơi lạnh lùng,2,3,0.6931471805599453
chút đôi khi,2,3,0.6931471805599453
cầnkìm nén cảm,1,3,0.0
nén cảm xúc,2,3,0.6931471805599453
mình sẵn sàng,2,3,0.6931471805599453
sẵn sàng hy,2,3,0.6931471805599453
sàng hy sinh,2,3,0.6931471805599453
hy sinh vì,4,3,1.3862943611198906
sinh vì người,2,3,0.6931471805599453
chừng nào đi,2,3,0.6931471805599453
nào đi nữa,2,3,0.6931471805599453
đi nữa thì,3,3,1.0986122886681098
dần hiểu đừng,2,3,0.6931471805599453
hiểu đừng vội,1,3,0.0
đừng vội vàng,4,3,1.3862943611198906
vội vàng thể,2,3,0.6931471805599453
vàng thể hiện,2,3,0.6931471805599453
thể hiện ngay,2,3,0.6931471805599453
thành thân mến,4,3,1.3862943611198906
con gái nhưng,3,3,1.0986122886681098
khi xưa người,1,3,0.0
xưa người yêu,1,3,0.0
bây giờ còn,5,3,1.6094379124341003
thì giống người,1,3,0.0
giống người yêu,2,3,0.6931471805599453
cô gái xinh,1,3,0.0
hơi kiêu nữa,1,3,0.0
lời nhận xét,1,3,0.0
mọi người đặc,1,3,0.0
người đặc biệt,1,3,0.0
đặc biệt rất,1,3,0.0
biệt rất thích,1,3,0.0
rất thích nấu,1,3,0.0
thích nấu ăn,1,3,0.0
nấu ăn cắm,1,3,0.0
ăn cắm hoa,1,3,0.0
người đầu tiên,2,3,0.6931471805599453
nhận lời yêu,1,3,0.0
yêu đầu tiên,2,3,0.6931471805599453
đầu tiên vì,1,3,0.0
mềm yếu trước,2,3,0.6931471805599453
luôn nghĩ nếu,1,3,0.0
mạnh mẽ hơn,3,3,1.0986122886681098
mẽ hơn đàn,1,3,0.0
hơn đàn ông,2,3,0.6931471805599453
đàn ông hơn,1,3,0.0
ông hơn chút,1,3,0.0
hơn chút nữa,1,3,0.0
thấy chán nản,2,3,0.6931471805599453
sự hiện diện,2,3,0.6931471805599453
người yêu đôi,1,3,0.0
yêu đôi khi,1,3,0.0
hay khen người,1,3,0.0
khen người khác,1,3,0.0
người khác trước,3,3,1.0986122886681098
khác trước mặt,3,3,1.0986122886681098
tình cảm thật,2,3,0.6931471805599453
mình lắm nhưng,1,3,0.0
lắm nhưng mỗi,1,3,0.0
nhưng mỗi khi,1,3,0.0
mỗi khi gặp,2,3,0.6931471805599453
thể âu yếm,1,3,0.0
âu yếm nhẹ,1,3,0.0
yếm nhẹ nhàng,1,3,0.0
luôn tỏ ra,2,3,0.6931471805599453
tỏ ra sợ,1,3,0.0
ra sợ mất,1,3,0.0
nói lời chia,15,3,2.70805020110221
lời chia tay,15,3,2.70805020110221
lòng vẫn yêu,1,3,0.0
chính sự thiếu,2,3,0.6931471805599453
sự thiếu mạnh,1,3,0.0
thiếu mạnh mẽ,1,3,0.0
làm giảm tình,1,3,0.0
giảm tình yêu,1,3,0.0
cần kìm nén,1,3,0.0
kìm nén cảm,1,3,0.0
nhưng đừng bao,1,3,0.0
đừng bao giờ,9,3,2.1972245773362196
bao giờ tỏ,1,3,0.0
giờ tỏ ra,1,3,0.0
tỏ ra quá,1,3,0.0
ra quá yếu,1,3,0.0
