lexical_item,frequency,syllable_length,log_frequency
nghêu,5,1,1.6094379124341003
nấu,77,1,4.343805421853684
khế,3,1,1.0986122886681098
đây,99,1,4.59511985013459
là,1155,1,7.051855622955894
một,851,1,6.7464121285733745
món,111,1,4.709530201312334
ăn,180,1,5.19295685089021
dân,23,1,3.1354942159291497
dã,12,1,2.4849066497880004
ngon,53,1,3.970291913552122
và,1278,1,7.15305163493748
dễ,97,1,4.574710978503383
làm,488,1,6.1903154058531475
thương,131,1,4.875197323201151
được,727,1,6.588926477533519
dùng,178,1,5.181783550292085
với,860,1,6.756932389247553
cơm,28,1,3.332204510175204
trong,555,1,6.318968113746434
các,416,1,6.030685260261263
bữa,21,1,3.044522437723423
hằng,12,1,2.4849066497880004
ngày,130,1,4.867534450455582
rất,374,1,5.924255797414532
phù,32,1,3.4657359027997265
hợp,156,1,5.049856007249537
những,660,1,6.492239835020471
nắng,8,1,2.0794415416798357
nóng,35,1,3.5553480614894135
g,41,1,3.713572066704308
thịt,64,1,4.1588830833596715
nên,395,1,5.978885764901122
mua,98,1,4.584967478670572
loại,290,1,5.66988092298052
đã,460,1,6.131226489483141
sơ,18,1,2.8903717578961645
chế,44,1,3.784189633918261
sẵn,38,1,3.6375861597263857
có,1639,1,7.40184157874383
bán,39,1,3.6635616461296463
nhiều,398,1,5.986452005284438
ở,306,1,5.723585101952381
hàng,132,1,4.882801922586371
hải,3,1,1.0986122886681098
sản,97,1,4.574710978503383
hai,207,1,5.332718793265369
quả,85,1,4.442651256490317
chua,22,1,3.091042453358316
rửa,31,1,3.4339872044851463
sạch,37,1,3.6109179126442243
cắt,52,1,3.9512437185814275
bỏ,78,1,4.356708826689592
cạnh,46,1,3.828641396489095
thái,38,1,3.6375861597263857
lát,17,1,2.833213344056216
mỏng,16,1,2.772588722239781
ớt,25,1,3.2188758248682006
sừng,6,1,1.791759469228055
sợi,17,1,2.833213344056216
thìa,19,1,2.9444389791664403
giấm,3,1,1.0986122886681098
hành,63,1,4.143134726391533
lá,59,1,4.07753744390572
rau,52,1,3.9512437185814275
răm,2,1,0.6931471805599453
nhỏ,111,1,4.709530201312334
nước,195,1,5.272999558563747
mắm,23,1,3.1354942159291497
hạt,34,1,3.5263605246161616
nêm,14,1,2.6390573296152584
tiêu,39,1,3.6635616461296463
đường,102,1,4.624972813284271
tỏi,17,1,2.833213344056216
băm,13,1,2.5649493574615367
cách,193,1,5.262690188904886
cho,800,1,6.684611727667927
vào,293,1,5.680172609017068
rổ,5,1,1.6094379124341003
ngâm,6,1,1.791759469228055
chậu,4,1,1.3862943611198906
pha,29,1,3.367295829986474
tay,154,1,5.0369526024136295
chà,7,1,1.9459101490553132
nhớt,2,1,0.6931471805599453
cát,3,1,1.0986122886681098
lại,401,1,5.993961427306569
bằng,161,1,5.081404364984463
lạnh,44,1,3.784189633918261
để,620,1,6.429719478039138
ráo,7,1,1.9459101490553132
đun,17,1,2.833213344056216
dầu,51,1,3.9318256327243257
phi,12,1,2.4849066497880004
thơm,49,1,3.8918202981106265
xào,26,1,3.258096538021482
nhanh,23,1,3.1354942159291497
múc,7,1,1.9459101490553132
ra,315,1,5.752572638825633
bát,21,1,3.044522437723423
thêm,93,1,4.532599493153256
chút,59,1,4.07753744390572
nồi,59,1,4.07753744390572
sôi,16,1,2.772588722239781
cuối,40,1,3.6888794541139363
cùng,159,1,5.0689042022202315
thì,469,1,6.150602768446279
tô,14,1,2.6390573296152584
anh,1604,1,7.38025578842646
thành,255,1,5.541263545158426
đừng,129,1,4.859812404361672
tỏ,56,1,4.02535169073515
yếu,47,1,3.8501476017100584
đuối,29,1,3.367295829986474
trước,125,1,4.8283137373023015
người,1112,1,7.013915474810528
yêu,744,1,6.612041034833092
con,265,1,5.579729825986222
gái,178,1,5.181783550292085
xinh,17,1,2.833213344056216
đẹp,98,1,4.584967478670572
đảm,37,1,3.6109179126442243
đang,133,1,4.890349128221754
luôn,130,1,4.867534450455582
muốn,205,1,5.3230099791384085
đàn,186,1,5.225746673713202
ông,210,1,5.3471075307174685
mạnh,58,1,4.060443010546419
mẽ,21,1,3.044522437723423
quyết,119,1,4.77912349311153
đoán,9,1,2.1972245773362196
hơi,48,1,3.871201010907891
lùng,4,1,1.3862943611198906
đôi,63,1,4.143134726391533
khi,589,1,6.3784261836515865
cầnkìm,1,1,0.0
nén,8,1,2.0794415416798357
cảm,385,1,5.953243334287785
xúc,48,1,3.871201010907891
không,1506,1,7.317212408359839
ta,331,1,5.802118375377063
biết,272,1,5.605802066295998
rằng,203,1,5.313205979041787
mình,606,1,6.406879986069314
sàng,16,1,2.772588722239781
hy,62,1,4.127134385045092
sinh,100,1,4.605170185988092
vì,346,1,5.846438775057725
dù,104,1,4.6443908991413725
cô,539,1,6.289715570908998
ấy,639,1,6.459904454377535
đến,379,1,5.937536205082426
chừng,10,1,2.302585092994046
nào,196,1,5.278114659230517
đi,283,1,5.645446897643238
nữa,146,1,4.983606621708336
cũng,571,1,6.3473892096560105
dần,14,1,2.6390573296152584
hiểu,126,1,4.836281906951478
vội,17,1,2.833213344056216
vàng,49,1,3.8918202981106265
thể,541,1,6.293419278846481
hiện,161,1,5.081404364984463
ngay,66,1,4.189654742026425
thân,146,1,4.983606621708336
mến,42,1,3.7376696182833684
tôi,1410,1,7.251344983372214
nhưng,425,1,6.052089168924417
tâm,193,1,5.262690188904886
trạng,28,1,3.332204510175204
của,1110,1,7.01211529430638
lúc,134,1,4.897839799950911
này,366,1,5.902633333401366
xưa,33,1,3.4965075614664802
giống,75,1,4.31748811353631
như,622,1,6.432940092739179
bây,58,1,4.060443010546419
giờ,164,1,5.099866427824199
còn,348,1,5.8522024797744745
học,223,1,5.407171771460119
thức,71,1,4.2626798770413155
kiêu,3,1,1.0986122886681098
theo,208,1,5.337538079701318
lời,132,1,4.882801922586371
nhận,151,1,5.017279836814924
xét,12,1,2.4849066497880004
mọi,107,1,4.672828834461906
đặc,59,1,4.07753744390572
biệt,56,1,4.02535169073515
thích,137,1,4.919980925828125
cắm,22,1,3.091042453358316
hoa,96,1,4.564348191467836
đầu,139,1,4.9344739331306915
tiên,29,1,3.367295829986474
quá,173,1,5.153291594497779
mềm,37,1,3.6109179126442243
nghĩ,264,1,5.575949103146316
nếu,305,1,5.720311776607412
hơn,331,1,5.802118375377063
phải,473,1,6.159095388491933
hay,264,1,5.575949103146316
thấy,236,1,5.4638318050256105
chán,15,1,2.70805020110221
nản,8,1,2.0794415416798357
sự,405,1,6.003887067106539
diện,19,1,2.9444389791664403
khen,16,1,2.772588722239781
khác,191,1,5.25227342804663
mặt,92,1,4.5217885770490405
so,68,1,4.219507705176107
bì,17,1,2.833213344056216
buồn,80,1,4.382026634673881
khổ,104,1,4.6443908991413725
điều,248,1,5.5134287461649825
chứ,40,1,3.6888794541139363
bên,146,1,4.983606621708336
an,46,1,3.828641396489095
ủi,18,1,2.8903717578961645
tình,521,1,6.255750041753367
thật,246,1,5.5053315359323625
lắm,54,1,3.9889840465642745
mỗi,54,1,3.9889840465642745
gặp,79,1,4.3694478524670215
âu,15,1,2.70805020110221
yếm,5,1,1.6094379124341003
nhẹ,41,1,3.713572066704308
nhàng,17,1,2.833213344056216
sợ,42,1,3.7376696182833684
mất,69,1,4.23410650459726
cứ,69,1,4.23410650459726
vậy,184,1,5.214935757608986
thời,198,1,5.288267030694535
gian,186,1,5.225746673713202
nói,306,1,5.723585101952381
chia,116,1,4.7535901911063645
lòng,142,1,4.955827057601261
vẫn,155,1,5.043425116919247
chính,95,1,4.553876891600541
thiếu,43,1,3.7612001156935624
giảm,26,1,3.258096538021482
đối,91,1,4.51085950651685
cần,197,1,5.2832037287379885
kìm,4,1,1.3862943611198906
bao,123,1,4.812184355372417
kể,49,1,3.8918202981106265
nghe,55,1,4.007333185232471
tiếp,80,1,4.382026634673881
câu,61,1,4.110873864173311
chuyện,247,1,5.5093883366279774
sau,249,1,5.517452896464707
nhìn,62,1,4.127134385045092
ánh,19,1,2.9444389791664403
mắt,45,1,3.8066624897703196
đầy,16,1,2.772588722239781
rồi,141,1,4.948759890378168
cả,258,1,5.552959584921617
tuần,26,1,3.258096538021482
liền,9,1,2.1972245773362196
liên,28,1,3.332204510175204
lạc,19,1,2.9444389791664403
bắt,52,1,3.9512437185814275
nhớ,40,1,3.6888794541139363
sống,233,1,5.4510384535657
bình,100,1,4.605170185988092
dị,13,1,2.5649493574615367
tốt,138,1,4.927253685157205
quý,28,1,3.332204510175204
công,154,1,5.0369526024136295
việc,232,1,5.44673737166631
vô,50,1,3.912023005428146
tìm,124,1,4.820281565605037
càng,90,1,4.499809670330265
buổi,19,1,2.9444389791664403
chiều,39,1,3.6635616461296463
em,356,1,5.87493073085203
chỉ,283,1,5.645446897643238
thôi,73,1,4.290459441148391
từ,217,1,5.37989735354046
đó,439,1,6.0844994130751715
nay,72,1,4.276666119016055
chúng,170,1,5.135798437050262
hạnh,160,1,5.075173815233827
phúc,162,1,5.087596335232384
nhau,323,1,5.777652323222656
góp,7,1,1.9459101490553132
ý,177,1,5.176149732573829
gì,228,1,5.429345628954441
chưa,94,1,4.543294782270004
đúng,68,1,4.219507705176107
nêu,4,1,1.3862943611198906
quan,203,1,5.313205979041787
điểm,109,1,4.6913478822291435
giúp,89,1,4.48863636973214
tin,128,1,4.852030263919617
sẽ,423,1,6.0473721790462776
phương,45,1,3.8066624897703196
hướng,36,1,3.58351893845611
bản,78,1,4.356708826689592
đoan,4,1,1.3862943611198906
trang,69,1,4.23410650459726
đâu,90,1,4.499809670330265
tĩnh,18,1,2.8903717578961645
từng,72,1,4.276666119016055
bước,55,1,4.007333185232471
hãy,250,1,5.521460917862246
bã,1,1,0.0
đau,119,1,4.77912349311153
ạ,33,1,3.4965075614664802
chúc,28,1,3.332204510175204
sớm,26,1,3.258096538021482
niềm,31,1,3.4339872044851463
vui,65,1,4.174387269895637
vọng,54,1,3.9889840465642745
chị,426,1,6.054439346269371
thần,13,1,2.5649493574615367
tượng,32,1,3.4657359027997265
hóa,23,1,3.1354942159291497
bạn,830,1,6.721425700790643
chờ,32,1,3.4657359027997265
đợi,27,1,3.295836866004329
phản,27,1,3.295836866004329
ứng,29,1,3.367295829986474
kiềm,2,1,0.6931471805599453
thẳng,53,1,3.970291913552122
thắn,24,1,3.1780538303479458
nhạy,13,1,2.5649493574615367
đánh,44,1,3.784189633918261
giá,134,1,4.897839799950911
xem,64,1,4.1588830833596715
thế,226,1,5.420534999272286
thoải,15,1,2.70805020110221
mái,20,1,2.995732273553991
về,239,1,5.476463551931511
đề,98,1,4.584967478670572
tài,38,1,3.6375861597263857
khó,116,1,4.7535901911063645
chịu,86,1,4.454347296253507
phần,86,1,4.454347296253507
độ,134,1,4.897839799950911
do,111,1,4.709530201312334
lý,86,1,4.454347296253507
chẳng,68,1,4.219507705176107
hạn,19,1,2.9444389791664403
lo,51,1,3.9318256327243257
lắng,25,1,3.2188758248682006
nơi,64,1,4.1588830833596715
đông,21,1,3.044522437723423
văn,30,1,3.4011973816621555
tây,21,1,3.044522437723423
mà,416,1,6.030685260261263
lứa,15,1,2.70805020110221
cộng,9,1,2.1972245773362196
đáng,45,1,3.8066624897703196
chê,4,1,1.3862943611198906
cười,9,1,2.1972245773362196
việt,35,1,3.5553480614894135
nam,53,1,3.970291913552122
số,83,1,4.418840607796598
châu,14,1,2.6390573296152584
á,5,1,1.6094379124341003
coi,31,1,3.4339872044851463
động,135,1,4.90527477843843
tế,43,1,3.7612001156935624
nhị,8,1,2.0794415416798357
niệm,22,1,3.091042453358316
cấm,2,1,0.6931471805599453
kỵ,1,1,0.0
đồng,168,1,5.123963979403259
nghiệp,39,1,3.6635616461296463
trung,86,1,4.454347296253507
nhật,20,1,2.995732273553991
ức,2,1,0.6931471805599453
vật,52,1,3.9512437185814275
hoàn,114,1,4.736198448394496
toàn,74,1,4.30406509320417
giấu,13,1,2.5649493574615367
