stimulus,condition,syllable_length,frequency_group,presentations,accuracy,median_rt,mean_rt,incorrect_count,missing_rt_count,flags
b?a,pseudoword,1,control,20,0.7,0.647412,0.646863,6,2,
b?c vi?n,pseudoword,2,control,20,0.85,0.855306,0.865962,3,0,
b?nh vi?n,word,2,low,20,0.95,0.557635,0.52927,1,0,
bi?c pháp,pseudoword,2,control,20,0.85,0.87482,0.847637,3,1,
biệc pháp,pseudoword,2,control,11,0.818182,0.76352,0.76914,2,0,
bệc viện,pseudoword,2,control,11,0.727273,0.740294,0.725088,3,0,
bệnh viện,word,2,low,11,1,0.532624,0.527893,0,0,
bửa,pseudoword,1,control,11,0.727273,0.59673,0.549887,3,0,
c?a hàc,pseudoword,2,control,20,0.9,0.79443,0.815541,2,0,
c?c,word,1,low,20,0.95,0.475524,0.471594,1,0,
ch?,word,1,low,20,1,0.419669,0.41367,0,0,
ch? c?a hàc,pseudoword,3,control,20,0.95,0.890552,0.926714,1,0,
ch? c?a hàng,word,3,low,20,0.95,0.8023,0.833903,1,0,
chuy?n t́nh c?m,word,3,high,20,0.75,0.57887,0.554739,5,1,
chuyên viên tu v?n,word,4,high,20,1,0.651002,0.761653,0,0,
chuyên viên tư vấn,word,4,high,11,1,0.624362,0.588082,0,0,
chuyện tình cảm,word,3,high,11,1,0.545686,0.580372,0,0,
chợ,word,1,low,11,1,0.415575,0.420383,0,0,
chủ cửa hàc,pseudoword,3,control,11,0.909091,0.830343,0.866492,1,0,
chủ cửa hàng,word,3,low,11,1,0.794226,0.894078,0,0,
co s? s?n xu?t,word,4,low,20,0.9,0.881388,0.85716,2,0,
co só s?n xu?t,pseudoword,4,control,20,0.8,1.099283,1.071018,4,1,
cu?c hôn nhâc,pseudoword,3,control,20,0.9,0.98029,1.047274,2,0,
cuộc hôn nhâc,pseudoword,3,control,11,1,0.881207,0.894367,0,0,
cá thác lác,word,3,mid,31,0.903226,0.702776,0.69171,3,0,
câu tr? l?i,word,3,high,20,0.9,0.56293,0.543522,2,0,
câu trả lời,word,3,high,11,0.909091,0.55415,0.556044,1,0,
cây,word,1,mid,31,1,0.433331,0.436635,0,0,
cây xanh,word,2,low,31,0.935484,0.573022,0.576732,2,0,
côc,pseudoword,1,control,31,0.83871,0.644443,0.623275,5,1,
côm ty,pseudoword,2,control,31,0.870968,0.785011,0.766508,4,0,
công ngh? thông tin,word,4,mid,20,0.9,0.790234,0.770981,2,0,
công nghi?p,word,2,high,20,0.95,0.383062,0.40148,1,0,
công nghiệp,word,2,high,11,1,0.479111,0.486179,0,0,
công nghệ thông tin,word,4,mid,11,1,0.575786,0.601854,0,0,
công ty,word,2,high,31,1,0.399332,0.393538,0,0,
cơ só sản xuất,pseudoword,4,control,11,0.636364,0.964221,0.934874,4,0,
cơ sở sản xuất,word,4,low,11,1,0.638636,0.658626,0,0,
cốc,word,1,low,11,1,0.472939,0.476475,0,0,
cửa hàc,pseudoword,2,control,11,0.909091,0.621546,0.643138,1,0,
d? n?i th?t,word,3,mid,20,0.95,0.702642,0.751247,1,1,
d?m ki?n xă h?i,pseudoword,4,control,20,0.8,1.116938,1.148069,4,0,
d?ng nghi?p,word,2,high,20,1,0.429809,0.425951,0,0,
d?nh ki?n xă h?i,word,4,low,20,0.9,0.864411,0.85197,2,0,
d?t,word,1,mid,20,1,0.454901,0.525337,0,0,
di?n dàn qu?c t?,word,4,low,20,0.9,0.850438,0.851288,2,0,
di?n tho?i di d?ng,word,4,high,20,0.95,0.594318,0.597597,1,0,
diễn đàn quốc tế,word,4,low,11,0.909091,0.807382,0.763474,1,0,
dâ,pseudoword,1,control,20,0.9,0.665124,0.678061,2,0,
dân,word,1,mid,31,1,0.404537,0.422439,0,0,
dèn,word,1,high,20,0.95,0.364468,0.378157,1,0,
giá,word,1,high,31,1,0.338408,0.361163,0,0,
giá thàc,pseudoword,2,control,31,0.903226,0.796907,0.835026,3,0,
giám dóc công ty,pseudoword,4,control,20,0.85,1.037905,1.068386,3,0,
giám đóc công ty,pseudoword,4,control,11,0.818182,0.99597,0.98879,2,0,
giáo d?c,word,2,mid,20,0.95,0.508246,0.52567,1,0,
giáo dục,word,2,mid,11,1,0.542013,0.524076,0,0,
gió,word,1,mid,31,1,0.471297,0.464116,0,0,
h? th?ng,word,2,high,20,1,0.404054,0.409853,0,0,
h? thóng,pseudoword,2,control,20,0.75,0.840951,0.883714,5,0,
h?c th?c,pseudoword,2,control,20,0.8,0.854243,0.85678,4,0,
h?nh phúc gia d́nh,word,4,high,20,0.95,0.585474,0.593217,1,0,
ho?t d?ng xă h?i,word,4,mid,20,1,0.735063,0.754259,0,0,
hoi nu?c,word,2,low,20,1,0.609341,0.614633,0,0,
hoi nu?m,pseudoword,2,control,20,0.9,0.856758,0.857694,2,1,
hoạt động xã hội,word,4,mid,11,1,0.654321,0.667625,0,0,
hàc,pseudoword,1,control,31,0.83871,0.643255,0.658513,5,1,
hình chữ nhật,word,3,high,11,1,0.549303,0.556203,0,0,
hó,pseudoword,1,control,31,0.83871,0.650387,0.636255,5,0,
hónh phúc gia d́nh,pseudoword,4,control,20,0.85,1.128441,1.116443,3,0,
hónh phúc gia đình,pseudoword,4,control,11,0.818182,0.785695,0.904901,2,0,
hơi nước,word,2,low,11,1,0.624353,0.628361,0,0,
hơi nướm,pseudoword,2,control,11,0.727273,0.7694,0.798072,3,1,
h́nh ch? nh?t,word,3,high,20,1,0.545511,0.550929,0,0,
hạnh phúc gia đình,word,4,high,11,0.909091,0.599627,0.597988,1,0,
hệ thóng,pseudoword,2,control,11,0.909091,0.70843,0.736538,1,0,
hệ thống,word,2,high,11,1,0.452227,0.450179,0,0,
học thủc,pseudoword,2,control,11,0.909091,0.653771,0.601599,1,0,
khoa h?c,word,2,mid,20,1,0.486505,0.498025,0,0,
