summary,group,value
usable_participant_count,all,48
participant_files,all,48
unique_participant_ids,all,48
excluded_or_flagged_participants,all,0
main_trials_usable,all,5760
valid_rt_count,all,5715
missing_rt_count,all,45
overall_accuracy,all,0.9020833333333333
real_word_accuracy,word,0.9565972222222222
pseudoword_accuracy,pseudoword,0.8203125
mean_rt_correct,all,0.7142522773287144
median_rt_correct,all,0.6755964999999999
condition_accuracy,pseudoword,0.8203125
condition_mean_rt_correct,pseudoword,0.9163973846560847
condition_accuracy,word,0.9565972222222222
condition_mean_rt_correct,word,0.5986883774954628
syllable_length_accuracy,1,0.9020833333333333
syllable_length_mean_rt_correct,1,0.5295923302540416
syllable_length_accuracy,2,0.9125
syllable_length_mean_rt_correct,2,0.6454450175038052
syllable_length_accuracy,3,0.9048611111111111
syllable_length_mean_rt_correct,3,0.8034568142747506
syllable_length_accuracy,4,0.8888888888888888
syllable_length_mean_rt_correct,4,0.8814807921875
real_word_frequency_group_accuracy,high,0.9583333333333334
real_word_frequency_group_mean_rt_correct,high,0.5104762237318841
real_word_frequency_group_accuracy,low,0.953125
real_word_frequency_group_mean_rt_correct,low,0.6675687969034608
real_word_frequency_group_accuracy,mid,0.9583333333333334
real_word_frequency_group_mean_rt_correct,mid,0.6183944619565217
real_word_freq_x_length_accuracy,high_1,0.9826388888888888
real_word_freq_x_length_mean_rt_correct,high_1,0.38838928268551237
real_word_freq_x_length_accuracy,high_2,0.9652777777777778
real_word_freq_x_length_mean_rt_correct,high_2,0.44221606474820147
real_word_freq_x_length_accuracy,high_3,0.9305555555555556
real_word_freq_x_length_mean_rt_correct,high_3,0.5737637201492537
real_word_freq_x_length_accuracy,high_4,0.9548611111111112
real_word_freq_x_length_mean_rt_correct,high_4,0.6434430581818181
real_word_freq_x_length_accuracy,low_1,0.9583333333333334
real_word_freq_x_length_mean_rt_correct,low_1,0.46789514492753626
real_word_freq_x_length_accuracy,low_2,0.9618055555555556
real_word_freq_x_length_mean_rt_correct,low_2,0.6053316498194946
real_word_freq_x_length_accuracy,low_3,0.9652777777777778
real_word_freq_x_length_mean_rt_correct,low_3,0.7624469136690647
real_word_freq_x_length_accuracy,low_4,0.9270833333333334
real_word_freq_x_length_mean_rt_correct,low_4,0.8397541947565543
real_word_freq_x_length_accuracy,mid_1,0.9756944444444444
real_word_freq_x_length_mean_rt_correct,mid_1,0.46641749110320285
real_word_freq_x_length_accuracy,mid_2,0.9583333333333334
real_word_freq_x_length_mean_rt_correct,mid_2,0.5369000289855073
real_word_freq_x_length_accuracy,mid_3,0.9375
real_word_freq_x_length_mean_rt_correct,mid_3,0.7122646592592593
real_word_freq_x_length_accuracy,mid_4,0.9618055555555556
real_word_freq_x_length_mean_rt_correct,mid_4,0.7622682490974729
