trial_id,stimulus,condition,is_word,syllable_length,frequency_group,frequency,log_frequency,presentations,accuracy,valid_rt_n,correct_valid_rt_n,mean_rt_correct,median_rt_correct,missing_rt_count,flag
LDT3X4_001,bệc viện,pseudoword,0,2,control,NA,NA,48,0.8541666666666666,48,41,0.8423443414634146,0.825993,0,
LDT3X4_002,núi,word,1,1,low,31,3.433987204,48,0.9791666666666666,48,47,0.48801421276595747,0.48758,0,
LDT3X4_003,cơ só sản xuất,pseudoword,0,4,control,NA,NA,48,0.7916666666666666,47,38,1.0946795789473684,1.093088,1,
LDT3X4_004,trính độ học vấn,pseudoword,0,4,control,NA,NA,48,0.7291666666666666,48,35,1.1736968285714287,1.138069,0,
LDT3X4_005,loại sản phẩm,word,1,3,low,10,2.302585093,48,0.9791666666666666,48,47,0.7733681276595744,0.763983,0,
LDT3X4_006,đèn,word,1,1,high,306,5.723585102,48,0.9791666666666666,48,47,0.4028201063829787,0.387204,0,
LDT3X4_007,mối quan hế,pseudoword,0,3,control,NA,NA,48,0.9375,48,45,0.9998529777777778,0.999171,0,
LDT3X4_008,điện thoại di động,word,1,4,high,14,2.6390573296152584,48,0.9791666666666666,48,47,0.6160628936170213,0.620003,0,
LDT3X4_009,tâm lỵ học,pseudoword,0,3,control,NA,NA,48,0.7708333333333334,48,37,1.067988162162162,1.01133,0,
LDT3X4_010,hệ thóng,pseudoword,0,2,control,NA,NA,48,0.7916666666666666,48,38,0.8954493157894737,0.8516355,0,
LDT3X4_011,sức hấp dẫn,word,1,3,mid,15,2.70805020110221,48,0.9791666666666666,48,47,0.7508627659574468,0.734423,0,
LDT3X4_012,nước uống thé thao,pseudoword,0,4,control,NA,NA,48,0.8958333333333334,47,43,1.147359511627907,1.148506,1,
LDT3X4_013,kiến trúc sư,word,1,3,high,23,3.13549421592915,48,0.9791666666666666,48,47,0.588081170212766,0.596061,0,
LDT3X4_014,máy đo huyết áp,word,1,4,low,3,1.098612289,48,0.9375,48,45,0.8973890444444445,0.896687,0,
LDT3X4_015,hệ thống,word,1,2,high,37,3.610917913,48,0.9791666666666666,48,47,0.4452536170212766,0.441045,0,
LDT3X4_016,trị,word,1,1,low,91,4.510859507,48,0.9583333333333334,48,46,0.44068623913043475,0.4278965,0,
LDT3X4_017,nước vọ gạo,pseudoword,0,3,control,NA,NA,48,0.8541666666666666,48,41,0.9516352926829268,0.98159,0,
LDT3X4_018,giáo dục,word,1,2,mid,23,3.135494216,48,0.9375,48,45,0.5358283111111111,0.524223,0,
LDT3X4_019,cốc,word,1,1,low,19,2.944438979,48,0.9791666666666666,48,47,0.49410182978723405,0.498805,0,
LDT3X4_020,lực,word,1,1,mid,199,5.293304825,48,0.9583333333333334,48,46,0.47613154347826087,0.440685,0,
LDT3X4_021,máy hủt bụi,pseudoword,0,3,control,NA,NA,48,0.7708333333333334,47,37,1.0098174324324325,1.008874,1,
LDT3X4_022,trý,pseudoword,0,1,control,NA,NA,48,0.7083333333333334,48,34,0.6636124117647059,0.6640775000000001,0,
LDT3X4_023,địm kiến xã hội,pseudoword,0,4,control,NA,NA,48,0.75,48,36,1.1668980833333333,1.1462585,0,
LDT3X4_024,nước xọt,pseudoword,0,2,control,NA,NA,48,0.7916666666666666,47,38,0.8791642368421052,0.8459475,1,
LDT3X4_025,môi trường bẹn ngoài,pseudoword,0,4,control,NA,NA,48,0.8125,48,39,1.0822771282051282,1.056409,0,
LDT3X4_026,lá,word,1,1,high,443,6.09356977,48,0.9791666666666666,48,47,0.39237840425531917,0.384838,0,
LDT3X4_027,hình chữ nhật,word,1,3,high,20,2.99573227355399,48,1.0,48,48,0.5570205833333334,0.5484994999999999,0,
LDT3X4_028,nhâ cửa,pseudoword,0,2,control,NA,NA,48,0.7916666666666666,48,38,0.8339487894736842,0.815503,0,
LDT3X4_029,máy nước nóng,word,1,3,low,6,1.791759469,48,0.9583333333333334,47,46,0.7827423043478261,0.7673725,1,
LDT3X4_030,lủc,pseudoword,0,1,control,NA,NA,48,0.8125,47,39,0.6838915128205129,0.648461,1,
LDT3X4_031,máy nghe nhảc,pseudoword,0,3,control,NA,NA,48,0.9166666666666666,48,44,0.9727562954545454,0.960951,0,
LDT3X4_032,công ty,word,1,2,high,135,4.905274778,48,1.0,48,48,0.401836625,0.40425049999999996,0,
LDT3X4_033,đồng nghiệp,word,1,2,high,45,3.80666249,48,1.0,48,48,0.44886214583333334,0.43174599999999996,0,
LDT3X4_034,vản hóa,pseudoword,0,2,control,NA,NA,48,0.8125,48,39,0.8167278461538462,0.833477,0,
LDT3X4_035,nước uống thể thao,word,1,4,mid,4,1.386294361,48,0.9375,48,45,0.7338003111111111,0.734323,0,
LDT3X4_036,khoa học,word,1,2,mid,20,2.995732274,48,0.9375,48,45,0.5249698222222222,0.489861,0,
LDT3X4_037,đâ,pseudoword,0,1,control,NA,NA,48,0.875,46,42,0.6577613809523809,0.643536,2,
LDT3X4_038,sông,word,1,1,low,60,4.094344562,48,0.9583333333333334,48,46,0.46110421739130436,0.4720665,0,
LDT3X4_039,hàc,pseudoword,0,1,control,NA,NA,48,0.8541666666666666,47,41,0.7157343414634146,0.686584,1,
LDT3X4_040,măt,pseudoword,0,1,control,NA,NA,48,0.8541666666666666,48,41,0.6899108292682927,0.672768,0,
LDT3X4_041,công nghệ thông tin,word,1,4,mid,6,1.791759469,48,0.9583333333333334,48,46,0.7454281304347826,0.782648,0,
LDT3X4_042,mức giá,word,1,2,mid,16,2.772588722,48,0.9791666666666666,47,47,0.5223611063829787,0.534077,1,
LDT3X4_043,đất,word,1,1,mid,138,4.927253685,48,0.9791666666666666,47,47,0.5024726170212765,0.460346,1,
LDT3X4_044,câu trả lời,word,1,3,high,30,3.40119738166216,48,0.9166666666666666,48,44,0.5819638863636364,0.5724795,0,
LDT3X4_045,hónh phúc gia đình,pseudoword,0,4,control,NA,NA,48,0.8541666666666666,48,41,1.1078860975609757,1.138595,0,
LDT3X4_046,hoạt động xã hội,word,1,4,mid,5,1.609437912,48,0.9791666666666666,48,47,0.7392005319148937,0.714166,0,
LDT3X4_047,mái nhà,word,1,2,low,14,2.63905733,48,0.8958333333333334,48,43,0.6139974651162791,0.609272,0,
LDT3X4_048,diễn đàn quốc tế,word,1,4,low,4,1.386294361,48,0.875,47,42,0.8370569285714285,0.8606415000000001,1,
LDT3X4_049,văn hóa ẩm thủc,pseudoword,0,4,control,NA,NA,48,0.8333333333333334,48,40,1.136990525,1.181427,0,
LDT3X4_050,chợ,word,1,1,low,108,4.682131227,48,1.0,48,48,0.4293114375,0.4242595,0,
LDT3X4_051,hó,pseudoword,0,1,control,NA,NA,48,0.8333333333333334,48,40,0.690971725,0.6906479999999999,0,
LDT3X4_052,nướp,pseudoword,0,1,control,NA,NA,48,0.7291666666666666,48,35,0.7073822571428572,0.700158,0,
LDT3X4_053,loại sản phám,pseudoword,0,3,control,NA,NA,48,0.8541666666666666,48,41,1.0440815609756098,1.037666,0,
LDT3X4_054,rúng,pseudoword,0,1,control,NA,NA,48,0.8333333333333334,48,40,0.7030448499999999,0.701749,0,
LDT3X4_055,máy điều hòa,word,1,3,low,10,2.302585093,48,0.9791666666666666,47,47,0.703704914893617,0.678537,1,
LDT3X4_056,nước mắm nguyên chất,word,1,4,mid,6,1.791759469,48,0.9791666666666666,48,47,0.7646469361702127,0.780529,0,
LDT3X4_057,tình yêu đích thực,word,1,4,high,23,3.1354942159291497,48,0.9375,47,45,0.6210882,0.614001,1,
LDT3X4_058,cây xanh,word,1,2,low,12,2.48490665,48,0.9583333333333334,48,46,0.6017288260869565,0.613758,0,
LDT3X4_059,dân,word,1,1,mid,155,5.043425117,48,1.0,48,48,0.4540806875,0.45103499999999996,0,
LDT3X4_060,quan hệ vợ chọng,pseudoword,0,4,control,NA,NA,48,0.7708333333333334,48,37,1.0247806216216215,1.000723,0,
