block,condition,syllable_length,data_notice,real_data_notice,n,valid_rt_n,mean_rt,median_rt,sd_rt,mean_accuracy
main,pseudoword,1,SIMULATED DATA — NOT REAL PARTICIPANT DATA,REAL PILOT DATA — NOT SIMULATED,18,18,0.6818058888888889,0.669173,0.12648999712550577,0.9444444444444444
main,pseudoword,2,SIMULATED DATA — NOT REAL PARTICIPANT DATA,REAL PILOT DATA — NOT SIMULATED,23,23,0.7413867391304347,0.757012,0.10128050975305143,0.9565217391304348
main,pseudoword,3,SIMULATED DATA — NOT REAL PARTICIPANT DATA,REAL PILOT DATA — NOT SIMULATED,11,11,0.9385682727272727,0.933607,0.14641269348392638,0.9090909090909091
main,pseudoword,4,SIMULATED DATA — NOT REAL PARTICIPANT DATA,REAL PILOT DATA — NOT SIMULATED,13,13,1.0882335384615385,1.053154,0.32501040056066294,0.7692307692307693
main,word,1,SIMULATED DATA — NOT REAL PARTICIPANT DATA,REAL PILOT DATA — NOT SIMULATED,16,16,0.6779046875,0.667871,0.12279833773398223,1
main,word,2,SIMULATED DATA — NOT REAL PARTICIPANT DATA,REAL PILOT DATA — NOT SIMULATED,21,21,0.6966798095238095,0.680155,0.10077175185021794,0.9523809523809523
main,word,3,SIMULATED DATA — NOT REAL PARTICIPANT DATA,REAL PILOT DATA — NOT SIMULATED,21,21,0.8178822857142857,0.778937,0.24372561948165047,1
main,word,4,SIMULATED DATA — NOT REAL PARTICIPANT DATA,REAL PILOT DATA — NOT SIMULATED,18,18,0.9996321666666667,0.9003065,0.2906788645796655,1
practice,pseudoword,1,SIMULATED DATA — NOT REAL PARTICIPANT DATA,REAL PILOT DATA — NOT SIMULATED,4,3,0.7695953333333333,0.736904,0.0700729923532122,0.75
practice,pseudoword,4,SIMULATED DATA — NOT REAL PARTICIPANT DATA,REAL PILOT DATA — NOT SIMULATED,4,3,0.9058613333333333,0.871508,0.08565944526048101,0.75
practice,word,1,SIMULATED DATA — NOT REAL PARTICIPANT DATA,REAL PILOT DATA — NOT SIMULATED,4,3,0.850051,0.82715,0.138631493828062,0.75
practice,word,2,SIMULATED DATA — NOT REAL PARTICIPANT DATA,REAL PILOT DATA — NOT SIMULATED,4,4,1.2394425,0.7095830000000001,1.1541869312682125,1
