participant_id,data_notice,n_trials,mean_rt,mean_accuracy
SIM_01,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.7155689554938294,0.9251700680272109
SIM_02,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.8460212791251026,0.9149659863945578
SIM_03,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.9463274957503256,0.9115646258503401
SIM_04,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.8236492076584546,0.9761904761904762
SIM_05,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.8913886087510238,0.9217687074829932
SIM_06,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.9749787013888118,0.9387755102040817
SIM_07,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.8229239850442113,0.8979591836734694
SIM_08,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.7575915636168268,0.935374149659864
SIM_09,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.8819400765428558,0.9455782312925171
SIM_10,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.7766372472659159,0.9285714285714286
SIM_11,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,1.23392511033378,0.9149659863945578
SIM_12,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.9719091717939566,0.935374149659864
SIM_13,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.7905404180700246,0.9523809523809523
SIM_14,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.9885484827890496,0.9387755102040817
SIM_15,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,1.0398412103096553,0.935374149659864
SIM_16,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.79829598198857,0.9183673469387755
SIM_17,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,1.000639972605303,0.9421768707482994
SIM_18,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,1.2771172731370906,0.9489795918367347
SIM_19,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.8139377635408245,0.9387755102040817
SIM_20,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,1.0631213011290923,0.9319727891156463
SIM_21,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,1.0160690299081632,0.8775510204081632
SIM_22,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.9280511808435433,0.9489795918367347
SIM_23,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.7965470351604043,0.9319727891156463
SIM_24,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.6387852009112511,0.9591836734693877
SIM_25,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.8164692635914074,0.8707482993197279
SIM_26,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,1.1380303715154991,0.9455782312925171
SIM_27,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.9771395909537465,0.9455782312925171
SIM_28,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.8451469382871972,0.9421768707482994
SIM_29,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.8548090697386665,0.9625850340136054
SIM_30,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.7347915543809588,0.95578231292517
SIM_31,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.8068880687509725,0.9251700680272109
SIM_32,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.8877806018868719,0.9251700680272109
SIM_33,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.9082662937667743,0.891156462585034
SIM_34,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.8893193536927656,0.9149659863945578
SIM_35,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,0.9826706177338941,0.9523809523809523
SIM_36,SIMULATED DATA — NOT REAL PARTICIPANT DATA,294,1.095840941962891,0.9625850340136054
